sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
Omi32_a_2_1	10972	437779	125450	0.7815224982192647
Omi32_a_2_2	187478	9196501	218132	0.9772829120596502
Omi32_a_2_3	459819	13649379	235912	0.9835545353085476
Omi32_a_2_4	269936	9784160	221274	0.978465592966482
Omi32_a_3_1	16776	475090	320561	0.6054279338328243
Omi32_a_3_2	292772	9293650	174837	0.9820886834372492
Omi32_a_3_3	340687	12756913	249371	0.9813162851706204
Omi32_a_3_4	278286	9024448	376531	0.96109921569458
Omi32_a_4_1	93688	2494564	135295	0.9503239709099934
Omi32_a_4_2	172912	7579762	345726	0.9573093450558134
Omi32_a_4_3	496932	12589610	262040	0.9803694504779608
Omi32_a_4_4	242190	8372426	147928	0.9831181446849224
Omi32_a_5_1	114339	4082326	1121747	0.7890823426240765
Omi32_a_5_2	219800	7174007	264982	0.9654015798058936
Omi32_a_5_3	243683	9022468	516514	0.947201094998142
Omi32_a_5_4	380332	9392559	181264	0.9817901167904256
Omi32_a_6_1	383862	10969827	11921716	0.4877976989014799
Omi32_a_6_2	217867	7406533	155689	0.9799887893313304
Omi32_a_6_3	331671	10387282	351154	0.9682790780613052
Omi32_a_6_4	0	0	0	
Omi32_a_7_1	756196	21134211	381407	0.9828749018827116
Omi32_a_7_2	61184	2259070	318496	0.8793004263382284
Omi32_a_7_3	0	0	0	
Omi32_a_7_4	0	0	0	
Omi32_a_8_1	1558191	39860765	272872	0.9934550243275492
Omi32_a_8_2	9981	247210	213147	0.5468216474110108
Omi32_a_8_3	0	0	0	
Omi32_a_8_4	0	0	0	
Omi32_a_F_1	76684	3497931	211861	0.9440479749508514
Omi32_a_F_2	159032	4389379	182413	0.9614416008712224
Omi32_a_F_3	206466	6374369	914886	0.8779455638757099
Omi32_a_F_4	221545	7919310	151953	0.9816765322433608
Omi32_a_F_5	521417	15809928	275136	0.9834320106710144
Omi32_a_F_6	56959	1682109	164554	0.9135574184370636
Omi32_a_10_1	51	762	154904	0.0052210099090015
Omi32_b_2_1	9584	332940	462901	0.4252711301486793
Omi32_b_2_2	359186	9398409	487439	0.9524219246124512
Omi32_b_2_3	606337	16716599	335383	0.981007082270968
Omi32_b_2_4	455898	12899000	85773	0.9936183989623733
Omi32_b_3_1	32126	875665	198653	0.8204581524234394
Omi32_b_3_2	461059	13690753	328709	0.97729991897391
Omi32_b_3_3	532156	20473589	191962	0.9909442092014952
Omi32_b_3_4	342166	10104977	451502	0.9585726482512276
Omi32_b_4_1	202	3197	3753084	0.0009048357200072
Omi32_b_4_2	381892	13166223	333339	0.9759867374123776
Omi32_b_4_3	512026	17326225	209230	0.988406692324541
Omi32_b_4_4	512861	12939018	238033	0.982612525193734
Omi32_b_5_1	296341	8537971	433396	0.9532359025554108
Omi32_b_5_2	355293	7578988	197247	0.9757429353991034
Omi32_b_5_3	244381	11961436	350480	0.972087312047493
Omi32_b_5_4	287025	8852564	331779	0.9649703189655392
Omi32_b_6_1	1116543	27918639	551736	0.9813520286229204
Omi32_b_6_2	169359	4642054	578493	0.8926710410162997
Omi32_b_6_3	190529	4989109	234386	0.95670761710698
Omi32_b_6_4	0	0	0	
Omi32_b_7_1	1444763	39696757	479303	0.9884840576074144
Omi32_b_7_2	179290	4371192	628864	0.8785823538338624
Omi32_b_7_3	0	0	0	
Omi32_b_7_4	0	0	0	
Omi32_b_8_1	872449	36489384	322506	0.9914419090646648
Omi32_b_8_2	36989	1444731	105606	0.9334692432430388
Omi32_b_8_3	0	0	0	
Omi32_b_8_4	0	0	0	
Omi32_b_F_1	115453	3260017	148805	0.9577771314667556
Omi32_b_F_2	163476	4238984	162620	0.9643774041199716
Omi32_b_F_3	233464	6942416	1045391	0.8728431406773964
Omi32_b_F_4	204789	7036403	291582	0.9612915507620432
Omi32_b_F_5	300982	7677060	239684	0.9708332937846796
Omi32_b_F_6	324079	9382668	258436	0.9740661059611248
Omi32_b_10_1	608738	26273544	2471111	0.9158151495467662
