sample	num_reads	num_unique_UMIs	num_reads_dropped	frac_reads_dropped	num_genos_seen
Omi32_a_2_1	38711	5890	32821	0.8478468652321046	1565
Omi32_a_2_2	3061973	1240709	1821264	0.5948008032729224	6915
Omi32_a_2_3	11626761	4609035	7017726	0.6035839216098103	7927
Omi32_a_2_4	8591878	4446675	4145203	0.4824559892493818	7753
Omi32_a_3_1	34978	10002	24976	0.7140488306935788	2936
Omi32_a_3_2	3180429	1214251	1966178	0.6182115683135828	6627
Omi32_a_3_3	10298551	3500325	6798226	0.6601148064421878	7738
Omi32_a_3_4	7948533	2116684	5831849	0.7337013006047782	7231
Omi32_a_4_1	289741	40570	249171	0.8599783944971544	2390
Omi32_a_4_2	3224927	615309	2609618	0.8092021927938213	5928
Omi32_a_4_3	9842066	2459716	7382350	0.7500813345490672	7433
Omi32_a_4_4	7204801	2579375	4625426	0.6419921938163178	7225
Omi32_a_5_1	1561258	188841	1372417	0.8790456157790705	5826
Omi32_a_5_2	4693889	1578508	3115381	0.6637099854726006	6976
Omi32_a_5_3	7450806	1367552	6083254	0.8164558304161993	7476
Omi32_a_5_4	8224725	2383539	5841186	0.7101983348987352	6700
Omi32_a_6_1	7075267	3256993	3818274	0.5396650048683675	8161
Omi32_a_6_2	5463587	1501952	3961635	0.7250978157756067	7220
Omi32_a_6_3	8747190	2123351	6623839	0.7572533579355198	7205
Omi32_a_6_4	0	0	0		0
Omi32_a_7_1	14184861	6612530	7572331	0.533831878930643	8130
Omi32_a_7_2	1790683	320733	1469950	0.820887895847562	6047
Omi32_a_7_3	0	0	0		0
Omi32_a_7_4	0	0	0		0
Omi32_a_8_1	27612133	10148182	17463951	0.6324738114219571	8165
Omi32_a_8_2	182743	50509	132234	0.7236063761676234	2840
Omi32_a_8_3	0	0	0		0
Omi32_a_8_4	0	0	0		0
Omi32_a_F_1	261833	64854	196979	0.752307768692258	3925
Omi32_a_F_2	420381	128853	291528	0.6934851955725877	6790
Omi32_a_F_3	2368323	487708	1880615	0.7940703189556492	6629
Omi32_a_F_4	6398083	3461475	2936608	0.4589824795958414	7796
Omi32_a_F_5	13685869	8146528	5539341	0.4047489421387856	8072
Omi32_a_F_6	1483900	1104126	379774	0.2559296448547746	7634
Omi32_a_10_1	528	521	7	0.0132575757575757	476
Omi32_b_2_1	54375	9627	44748	0.822951724137931	3487
Omi32_b_2_2	3240540	1399686	1840854	0.5680701364587384	6986
Omi32_b_2_3	14077793	7853702	6224091	0.4421212188586663	8057
Omi32_b_2_4	11515549	8165399	3350150	0.290924036708975	7715
Omi32_b_3_1	53943	22614	31329	0.5807797119181358	2778
Omi32_b_3_2	4933911	2182876	2751035	0.5575769404839285	7386
Omi32_b_3_3	16433234	5974645	10458589	0.6364291410929827	7897
Omi32_b_3_4	8900389	5300168	3600221	0.4045015335846557	7750
Omi32_b_4_1	2198	1846	352	0.1601455868971792	1511
Omi32_b_4_2	6144098	2775882	3368216	0.5482034954520583	7468
Omi32_b_4_3	13864529	4508445	9356084	0.6748216257472576	7560
Omi32_b_4_4	11427477	4297702	7129775	0.6239150601659491	7236
Omi32_b_5_1	2846599	478836	2367763	0.8317866338040588	5577
Omi32_b_5_2	5086921	1816975	3269946	0.6428143861483203	6754
Omi32_b_5_3	9742198	2807525	6934673	0.7118181133251449	7199
Omi32_b_5_4	7722119	2712044	5010075	0.648795363034421	6490
Omi32_b_6_1	16832311	5350702	11481609	0.6821172089798008	7974
Omi32_b_6_2	3602580	834199	2768381	0.7684440040193417	6461
Omi32_b_6_3	4298584	1072343	3226241	0.7505357578216455	5417
Omi32_b_6_4	0	0	0		0
Omi32_b_7_1	27202238	9184879	18017359	0.662348406774472	8027
Omi32_b_7_2	3447662	823849	2623813	0.7610412505634253	6369
Omi32_b_7_3	0	0	0		0
Omi32_b_7_4	0	0	0		0
Omi32_b_8_1	23814368	13181950	10632418	0.4464707188534249	8170
Omi32_b_8_2	1050389	363837	686552	0.6536168981206011	6135
Omi32_b_8_3	0	0	0		0
Omi32_b_8_4	0	0	0		0
Omi32_b_F_1	365551	168735	196816	0.5384091412689338	4880
Omi32_b_F_2	547496	247890	299606	0.5472295688005027	5542
Omi32_b_F_3	3143255	2034268	1108987	0.3528148368490625	7567
Omi32_b_F_4	5831279	2851829	2979450	0.5109427965974531	7788
Omi32_b_F_5	6703881	2907981	3795900	0.5662242512956301	7949
Omi32_b_F_6	8226385	3542982	4683403	0.569314832699904	7757
Omi32_b_10_1	19143350	1599073	17544277	0.9164684864456848	7492
