Params:	14
Performance_R2:	0.2869986508219401
Alpha:	0.05
Alpha_Bonf:	0.0035714285714285718
Term	Coefficient	StdErr	p_value	CI_lower	CI_upper
Intercept	1.7000522220098693	0.005768577814726969	0.0	1.683236906607887	1.7168675374118516
1	0.00432621299209184	0.0057115223941581255	0.4488106489152641	-0.012322786738494263	0.020975212722677945
2	0.014803806565327034	0.005716360913122782	0.009630587173120627	-0.0018592973734508078	0.03146691050410488
3	-0.26439325177414286	0.0057345507803299375	0.0	-0.281109378895416	-0.24767712465286973
4	0.029974802841861926	0.005722784615471741	1.685557315450235e-07	0.013292973909764163	0.04665663177395969
5	-0.010121664561995165	0.005707792926446288	0.07623335120546403	-0.026759792951694446	0.006516463827704117
6	0.013872369884854227	0.005704433276617435	0.015053338083723838	-0.002755965177386046	0.0305007049470945
7	-0.028118591595992427	0.005708683809778322	8.65726704503586e-07	-0.04475931689687079	-0.011477866295114058
8	0.0006719352318440018	0.005704246324098747	0.906233904708525	-0.015955854866686343	0.017299725330374344
9	-0.022323127379124223	0.005714116163521756	9.470280833577569e-05	-0.03897968790741996	-0.005666566850828485
10	-0.0037289174144160466	0.005708074825383944	0.5136091755187455	-0.020367867535172862	0.012910032706340767
11	0.012231425699368663	0.005714133639625	0.03235370131753062	-0.004425185771498622	0.02888803717023595
12	-0.005009190629553395	0.005707900157956038	0.3802051385083304	-0.021647631597450524	0.011629250338343732
13	0.009895169231041783	0.005704582153519166	0.08286771241513445	-0.006733599805071962	0.02652393826715553
