"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
63524.9,41825,99537.8,61748.8,42841,94460.2,2601.3,0.209
129981,89809,94850.5,123224,87145,92668.4,4957.65,0.213
76014,54964,90634.8,53604.7,41360,84938.1,4077.9,0.214
99691.2,72936,89576.6,69518.2,51537,88401.4,3057.39,0.217
62445.6,44213,92561.8,94022.9,66045,93298.2,3256.11,0.219
86365.4,54928,103045,84611.9,54524,101701,2226.63,0.223
91203.8,51053,117077,99030.9,62925,103140,9036.93,0.224
92875.7,68645,88669.3,68119.6,53785,83002.4,2344.62,0.225
80246.2,52412,100340,70073.6,48008,95657.9,2412.24,0.226
108218,77757,91209.6,67421.3,48704,90721.9,6235.53,0.23
69581.5,44376,102760,62623.7,42312,96996.3,6223.11,0.234
107187,74560,94214.3,81330.3,58284,91449.8,3781.2,0.234
76527.4,52544,95449.5,96217,65964,95592.8,6779.25,0.235
86061.6,61457,91773.6,58391.2,44181,86614.8,5940.21,0.235
83808,52405,104808,90536.3,58705,101071,4765.83,0.239
80782.6,58713,90170.2,79113.3,57940,89485.2,5754.6,0.239
66756.2,43326,100977,68317.6,46467,96353.6,6191.37,0.243
86644.8,55492,102327,57112.7,38600,96967.3,3899.88,0.245
52182,45305,75483.9,75490.1,62660,78955,6065.1,0.254
78410.9,54796,93779.4,48079.2,38104,82692.6,7932.93,0.256
95359,72671,85996.4,76821.1,57218,87988.9,4806.54,0.258
70092.7,49700,92426.5,69403.6,51324,88622,2407.41,0.261
103298,65239,103769,96578.6,62495,101278,2616.48,0.261
64124.6,42958,97827.5,102963,65683,102733,3870.21,0.262
89025.1,58685,99418.1,99636.7,64736,100868,3013.92,0.264
66085.9,44752,96778,55046.8,37964,95025.5,3133.29,0.268
106956,72660,96469.4,109988,77512,92994.4,2441.91,0.269
100081,75596,86763,89102.5,66456,87869,9139.05,0.269
109484,80721,88888.1,92499.3,68241,88832.8,3227.13,0.273
115029,83937,89811.6,113613,85193,87398.8,9449.55,0.274
86122.8,53925,104667,100955,67305,98301.8,4708.56,0.28
77291.3,46753,108343,68639.8,44253,101651,4712.01,0.282
95819.8,68581,91565.4,75757.9,57829,85854.3,5880.87,0.282
75584.2,61406,80667.8,57619.1,49123,76870.9,7607.94,0.282
88693.2,56349,103154,76570.7,50752,98875.6,4071,0.286
85644.7,60484,92798.3,83231.2,60880,89596.6,3472.77,0.287
119027,74105,105263,61679.1,44452,90934.1,2893.17,0.291
83350.8,52576,103897,90385.2,59836,98995.3,6649.53,0.292
66703,42829,102067,72739.1,47101,101209,2893.86,0.293
85619.5,60629,92549.1,66692.6,49729,87891.8,2243.19,0.293
79146,58685,88385.7,50337.6,39392,83746,2448.12,0.294
160722,110645,95197,135012,93533,94599.4,6297.63,0.297
81186.5,55006,96728.3,106459,71895,97042.6,7727.31,0.304
82902.2,56352,96413.3,105576,75384,91783.4,2595.78,0.305
89730,68270,86136.6,83981.3,63187,87103.3,3093.27,0.307
82498.3,54313,99545.4,47473.4,33449,93013.7,6342.48,0.307
83389,51813,105475,72204.4,49233,96114.1,6422.52,0.307
82692,49196,110157,93862.8,60033,102467,2261.13,0.308
120536,94209,83850.2,86764,66957,84922.7,9372.27,0.308
99262.1,62955,103332,78640.7,54198,95092,5626.26,0.309
124278,92118,88416.1,81789.8,58222,92064.5,3414.12,0.309
74146.3,48114,100995,60601.3,40042,99185.1,6761.31,0.31
74965.7,56188,87437.7,59028.1,46229,83680.5,7991.58,0.314
70745.8,55736,83184.9,47903.2,37761,83138.4,2310.81,0.314
83172.2,53733,101442,85822.9,62789,89577.6,8108.88,0.314
73620,54976,87761.2,43920.6,34892,82493.9,2300.46,0.315
96560.6,69405,91177.9,63773.9,48176,86754.6,2586.12,0.315
85497.8,64386,87024.9,116998,96894,79134,2832.45,0.321
