"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
118320,82766,93688.9,81379.3,56663,94122.7,50579.1,0.211
64985,45417,93772.4,62872.1,42148,97760,36642.4,0.211
83165.8,65456,83267.4,45767.7,39020,76869.1,51661.7,0.212
102530,68500,98093.7,113661,74360,100173,45674.6,0.212
60268.3,40764,96893,62120,47340,85997,30885.1,0.213
151940,101809,97806.2,116322,75261,101291,39768.1,0.214
129213,81948,103335,121750,84129,94842.9,65890.2,0.214
107120,77365,90741.7,87245.7,60677,94232.3,65984.7,0.217
78398.6,53825,95456.3,80300.8,56637,92918,52602.1,0.218
82510.6,55860,96802.9,65664.5,43132,99772.6,32970.3,0.219
109866,80465,89482.3,108819,78733,90578.7,63551.8,0.219
134794,90501,97610.7,99593.2,65645,99427.9,56106,0.22
96613.9,61001,103796,86878.6,55108,103318,79771.6,0.22
76052.9,46185,107918,73072.4,46925,102054,44710.6,0.22
74106,52181,93072.4,47482.4,33109,93986.6,30930.6,0.221
100724,62097,106303,73627.1,49837,96820.2,40147.6,0.222
99999.4,72629,90233.4,71392.9,53397,87623,33643,0.223
115306,85797,88076.3,110479,83845,86353.8,45241.9,0.224
115774,76492,99191.5,169122,108833,101840,36664.5,0.225
109068,77441,92301.4,68452.8,49821,90044.9,31564.1,0.225
92644.6,67193,90359.9,65238.8,51572,82903.3,31831.8,0.227
104379,71385,95826.7,72648,49876,95458,50850.2,0.228
73581.1,46349,104041,65285,41385,103383,34891.9,0.229
90920.2,67099,88802.3,57336.9,45526,82538.2,39372.8,0.229
70344.7,52448,87898.7,79146.5,62492,83001.7,42747.6,0.229
90428.4,60628,97748.8,53473.6,36356,96392.5,34369.6,0.23
62518.3,44704,91651.8,69190.4,51512,88027.4,42276.3,0.231
124654,82445,99087.9,63208.8,44848,92366.5,55142,0.232
147472,94465,102310,128627,82861,101733,63153.6,0.232
78064.6,51526,99290.4,75350.8,53098,93001.4,31535.8,0.233
121759,83783,95241.4,83906.1,61851,88905.1,35016.1,0.235
106292,76634,90899.1,89448.1,63107,92891,40160.8,0.235
73516.3,52368,92002.1,92124,71572,84354.7,32261.6,0.236
86585,55420,102390,49234.3,34193,94364.8,37905.1,0.237
68619.6,45423,99003.9,96006.6,65042,96735.8,44512.6,0.238
134159,97683,90008,97390,69883,91332,70694.6,0.238
117143,81348,94373.6,99133.7,69504,93474.1,38477.9,0.239
93190.3,66105,92388.2,69611.3,50393,90529.4,43770.8,0.239
66949.2,44743,98061.9,75189.3,53055,92877.3,31613,0.24
125225,92169,89039.9,75399.1,50932,97018.6,53907.6,0.24
103936,72757,93620.2,103217,71621,94447.7,59155.8,0.241
94020.5,54281,113515,107332,69972,100528,67453,0.242
113468,68890,107944,179649,117751,99986.3,118253,0.242
85503.6,54365,103073,73114.5,50221,95410.9,42618.5,0.243
97570.8,72764,87878.6,87842.5,66881,86076,51627.9,0.244
114941,80117,94022,74087.4,54525,89048.9,35113.4,0.245
74955.6,49097,100053,91673.4,64436,93238.4,36194.6,0.245
107037,69295,101231,73275.2,47586,100916,38365.4,0.246
96973.2,70942,89583.5,58985.3,44355,87152.8,31869,0.247
90205.2,61824,95621.2,69972.2,49896,91905.1,37774.1,0.247
128190,81498,103083,100136,68711,95509.1,50754.3,0.247
138298,92128,98379.6,66416.6,42924,101404,43135.4,0.248
60051.6,39805,98870.5,78028,56720,90155.9,50203.7,0.25
79518.2,55456,93971.9,60413.6,43116,91828.3,33376.7,0.252
89591.8,57848,101499,54778.4,36476,98419.7,43354.1,0.253
97542.7,64059,99791.8,85397.9,56678,98744.4,35505.3,0.254
124516,88020,92709.5,69031,49724,90982.6,40131.8,0.254
116450,84573,90237.6,89251.5,66672,87730.8,39096.8,0.254
72469.4,53889,88132.2,63296.5,48829,84953.6,39020.2,0.259
101331,77558,85624.3,77158.6,63406,79750.5,49076.9,0.259
61378.6,38908,103385,103684,75441,90071,48576.7,0.26
79215.1,53667,96734.4,65188.4,45583,93723.3,33996.3,0.26
101138,69315,95623.7,62896.9,46879,87928.8,42055.5,0.261
134576,81858,107742,88495.3,56410,102812,43728.8,0.262
147039,99432,96914,101085,65480,101171,45673.2,0.262
177175,114545,101370,118330,77301,100321,43585.9,0.262
124980,87561,93543,93448.1,67316,90977.1,32062.9,0.267
64353.6,38480,109602,64121,44764,93875.3,31833.2,0.267
103480,65424,103657,100374,66404,99062.3,58654.1,0.267
111213,82037,88843.8,76391.3,57229,87479.8,31769.7,0.269
89966.9,67284,87629.6,66308.3,50424,86180.8,40469.2,0.27
126517,83533,99259.2,100886,71405,92594.1,44113.1,0.273
111264,74913,97337.3,93478.4,70361,87068.2,41648.4,0.273
93494.2,59264,103389,92730.5,59116,102801,54903.3,0.274
90667.4,58216,102068,71762.8,49525,94963,46824.8,0.275
96511.7,64577,97944.9,97522.5,65961,96894.2,37978.3,0.275
91926.7,61907,97315.5,79581.8,52555,99238.4,62476.7,0.275
93257.3,69205,88313.1,63524.2,48509,85821.6,60630.3,0.276
56065.7,38380,95735.3,65332,45413,94281.3,51737.6,0.276
91175,57047,104743,86483.9,55995,101220,64933.1,0.279
70550.6,47324,97701.1,75385.3,54097,91325.7,40992.9,0.279
84595,53357,103904,98240.8,63488,101410,30904.4,0.279
107654,78744,89596.6,84687.1,64993,85394.7,48689.9,0.281
83549.5,59965,91311.6,95997.6,71024,88579.9,34979.6,0.281
69900.5,49784,92017.5,58594.1,45009,85316.8,52109.5,0.283
