"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
78048,52128,98123,68434.2,47584,94252.4,870.78,0.21
102593,67932,98974.3,88527.7,56917,101934,1264.08,0.211
72789.8,47093,101296,46096.1,29705,101699,316.02,0.215
92121.1,67781,89070,80823.8,62041,85376.9,1822.98,0.218
122176,79748,100403,114362,81968,91436,507.15,0.219
89856.7,53332,110419,80106.9,50936,103068,1262.7,0.222
80791.9,54273,97558.3,77409,54425,93212.3,1199.22,0.235
102790,77319,87125.4,55612.6,43043,84674.1,688.62,0.238
86222.2,64553,87535.1,52844.3,41449,83553.4,802.47,0.246
56293.9,40256,91645.4,80851.4,64184,82554.5,973.59,0.246
75125.5,52833,93188.5,99053,72909,89036.1,1013.61,0.247
92712.2,65181,93217.2,80004.1,60944,86032.3,1135.74,0.249
75361,54563,90516.6,64904.9,51251,82995.5,730.02,0.249
68795.3,53685,83981.9,59263.4,51133,75956.6,1614.6,0.251
58768.6,36525,105447,61911.6,41408,97986.9,1534.56,0.252
98697.6,68085,95002.5,78583.4,54809,93963.4,560.28,0.254
68041.4,47036,94803.2,64788.2,47985,88485.2,539.58,0.254
82096.6,58461,92032,62004.1,45760,88800.3,447.12,0.256
101436,64565,102961,85396.5,54973,101805,1552.5,0.256
86490.7,64478,87909.9,48402.8,37635,84286.6,1075.02,0.257
103239,66173,102246,96525.5,61344,103122,1399.32,0.261
92139.8,63921,94467.8,91369.1,64585,92714.5,2002.38,0.262
81679.7,55917,95730.4,65007.7,44825,95043.9,373.29,0.263
88922.9,58469,99670.8,63929.9,44093,95019.8,1106.76,0.263
68207,47520,94066,67257.8,49336,89342.6,1477.98,0.269
119544,89234,87796.9,64060.3,49150,85417.2,409.86,0.27
87253.2,66234,86333.7,53477.8,41543,84363.6,1654.62,0.273
141189,98483,93955,83502.4,58307,93855.2,1662.9,0.273
149478,88553,110625,116764,75501,101353,1907.85,0.273
85078.8,61068,91303.5,75433.6,56705,87181.3,1652.55,0.274
63517.7,42673,97548.7,57247.2,39289,95491.2,598.92,0.277
