step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,2257139.0,1310545.0,602419.0,1681233.0,44002.0,68869.0,4379540.0,2752311.0,278975.0,2798118.0
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,879247.0,631280.0,186525.0,1620907.0,30678.0,463587.0,4735812.0,1670808.0,560323.0,3989591.0
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,1015411.0,832190.0,53262.0,673766.0,26907.0,98533.0,1008073.0,3465315.0,58226.0,655837.0
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,897663.0,512015.0,598225.0,2512050.0,1003288.0,1655882.0,1654658.0,1373812.0,1863426.0,1435688.0
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,4988363.0,1638730.0,302756.0,342071.0,52998.0,112146.0,2948490.0,2111969.0,338078.0,5840265.0
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,1361613.0,419394.0,27951.0,509137.0,21468.0,51488.0,684421.0,2164854.0,88678.0,400178.0
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,1465708.0,455182.0,61848.0,816943.0,12675.0,510114.0,2064588.0,1850338.0,349704.0,1539977.0
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,772173.0,718682.0,420079.0,2555451.0,477307.0,2294574.0,937569.0,806384.0,1561979.0,1778372.0
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,127935.0,205985.0,276163.0,1677785.0,696620.0,2517294.0,4230077.0,897658.0,2772502.0,2516632.0
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,2698930.0,2035251.0,606862.0,2980589.0,1036350.0,2671380.0,421197.0,1711001.0,2255448.0,892625.0
wuhan,ba4,ba1,ba4,ba1,wuhan,ba4,ba1,ba4,ba1,wuhan,ba1,wuhan,1929903.0,1738658.0,1773958.0,4004938.0,1574928.0,3715917.0,7519349.0,5357678.0,2557751.0,3852639.0
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,1218909.0,1303376.0,440476.0,908361.0,57460.0,102895.0,3896394.0,1956171.0,358331.0,3254878.0
ba1,ba4,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,wuhan,78116.0,404039.0,1917072.0,2386921.0,1131345.0,3445772.0,5323647.0,1282383.0,3181650.0,2331641.0
ba1,ba1,ba1,wuhan,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,175165.0,747813.0,979264.0,4343642.0,981694.0,2204631.0,382638.0,1444941.0,797239.0,859520.0
ba4,ba1,wuhan,ba4,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,1543641.0,611961.0,1190151.0,3742647.0,1467459.0,3091959.0,3534139.0,1886047.0,1676147.0,1922737.0
wuhan,ba4,ba4,ba4,ba1,ba1,ba4,wuhan,ba1,wuhan,ba1,wuhan,ba1,1095288.0,2020792.0,993955.0,3686751.0,769083.0,3102627.0,978961.0,3286138.0,938594.0,812078.0
ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,1684301.0,655048.0,96399.0,765672.0,42006.0,703894.0,2519069.0,1134644.0,755417.0,4152111.0
