sample	fastq_file	total_reads_considered	reads_matching_pattern	fraction_of_fastq_accepted
Omi32_e_2_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_2_1_R1.fastq.gz	905062	839426	0.9274790014385754
Omi32_e_2_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_2_2_R1.fastq.gz	13868848	13176363	0.9500690324099016
Omi32_e_2_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_2_3_R1.fastq.gz	22962739	19445803	0.846841615889115
Omi32_e_2_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_2_4_R1.fastq.gz	20466047	19299986	0.943024610468255
Omi32_e_3_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_3_1_R1.fastq.gz	983179	836798	0.8511145986641293
Omi32_e_3_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_3_2_R1.fastq.gz	14671353	13437673	0.9159123224695092
Omi32_e_3_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_3_3_R1.fastq.gz	14131256	11135086	0.7879756760474794
Omi32_e_3_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_3_4_R1.fastq.gz	18405468	17382314	0.9444103241493236
Omi32_e_4_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_4_1_R1.fastq.gz	2156856	1978742	0.9174196144758852
Omi32_e_4_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_4_2_R1.fastq.gz	15090438	13265605	0.8790735563805371
Omi32_e_4_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_4_3_R1.fastq.gz	15519749	13409729	0.8640429043021249
Omi32_e_4_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_4_4_R1.fastq.gz	13129598	11999654	0.9139391777265382
Omi32_e_5_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_5_1_R1.fastq.gz	5147467	4196716	0.8152973103081574
Omi32_e_5_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_5_2_R1.fastq.gz	13508985	12317906	0.9118306075548978
Omi32_e_5_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_5_3_R1.fastq.gz	13094971	11542916	0.8814770189258151
Omi32_e_5_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_5_4_R1.fastq.gz	15573968	12729255	0.8173417975431824
Omi32_e_6_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_6_1_R1.fastq.gz	16917615	13668086	0.8079203835765266
Omi32_e_6_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_6_2_R1.fastq.gz	12351040	10594033	0.8577442061559188
Omi32_e_6_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_6_3_R1.fastq.gz	7087286	5651647	0.7974345892066441
Omi32_e_6_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_6_4_R1.fastq.gz	725534	565888	0.779960691022061
Omi32_e_7_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_7_1_R1.fastq.gz	25218228	18482758	0.732912637636554
Omi32_e_7_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_7_2_R1.fastq.gz	12867092	10377117	0.8064850239665653
Omi32_e_7_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_7_3_R1.fastq.gz	1801748	1508481	0.8372319547461687
Omi32_e_7_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_7_4_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_e_8_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_8_1_R1.fastq.gz	41247474	35697694	0.8654516395355507
Omi32_e_8_2	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_8_2_R1.fastq.gz	5083820	4834871	0.951031114398228
Omi32_e_8_3	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_8_3_R1.fastq.gz	2045009	1723200	0.8426368783707064
Omi32_e_8_4	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_8_4_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_e_F_1	results_Omi-32/20251022_WH_rep1-2_FINAL/grouped_fastq/Omi32_e_F_1_R1.fastq.gz	2766690	2145611	0.7755155077005375
