sample	reads_with_incorrect_barcode	reads_with_no_err_in_barcode	reads_with_one_sub_in_barcode	reads_with_two_or_more_subs_in_barcode	reads_with_indels_in_barcode	total_accepted	fraction_accepted
Omi32_d_2_1	652841	32039	0	0	0	32039	0.0467804578904333
Omi32_d_2_2	10608480	4024896	0	0	0	4024896	0.2750490385813909
Omi32_d_2_3	2387768	10119460	0	0	0	10119460	0.8090889524041618
Omi32_d_2_4	1796436	9684369	0	0	0	9684369	0.843527000066633
Omi32_d_3_1	241350	30468	0	0	0	30468	0.1120897070834161
Omi32_d_3_2	3815333	1488013	0	0	0	1488013	0.2805800338126156
Omi32_d_3_3	2869273	10346333	0	0	0	10346333	0.7828875194977817
Omi32_d_3_4	2268216	12093049	0	0	0	12093049	0.8420601527790205
Omi32_d_4_1	1703182	111701	0	0	0	111701	0.0615472181953327
Omi32_d_4_2	8679348	4197047	0	0	0	4197047	0.3259489166028224
Omi32_d_4_3	3528976	12410546	0	0	0	12410546	0.7786021437782137
Omi32_d_4_4	1552042	8377438	0	0	0	8377438	0.8436935267506456
Omi32_d_5_1	2559398	507721	0	0	0	507721	0.1655367789772747
Omi32_d_5_2	6209357	4474715	0	0	0	4474715	0.4188211198876234
Omi32_d_5_3	2928053	9116630	0	0	0	9116630	0.7569007835241492
Omi32_d_5_4	1898373	9666619	0	0	0	9666619	0.8358517671261684
Omi32_d_6_1	5299957	4479673	0	0	0	4479673	0.4580616035575988
Omi32_d_6_2	4760267	8196275	0	0	0	8196275	0.6325974168107509
Omi32_d_6_3	2154485	9497585	0	0	0	9497585	0.8150985189755984
Omi32_d_6_4	2	4	0	0	0	4	0.6666666666666666
Omi32_d_7_1	7772133	15263871	0	0	0	15263871	0.662609322346011
Omi32_d_7_2	4602775	9546221	0	0	0	9546221	0.6746924658117085
Omi32_d_7_3	2	4	0	0	0	4	0.6666666666666666
Omi32_d_7_4	2	4	0	0	0	4	0.6666666666666666
Omi32_d_8_1	11306056	24379780	0	0	0	24379780	0.6831780541725294
Omi32_d_8_2	2941096	3459925	0	0	0	3459925	0.5405270502940078
Omi32_d_8_3	2	4	0	0	0	4	0.6666666666666666
Omi32_d_8_4	2	4	0	0	0	4	0.6666666666666666
Omi32_i_2_1	2917075	113216	0	0	0	113216	0.0373614283248704
Omi32_i_2_2	9937462	4162661	0	0	0	4162661	0.2952216090597224
Omi32_i_2_3	2119171	12141387	0	0	0	12141387	0.8513963478848443
Omi32_i_2_4	1365811	8473549	0	0	0	8473549	0.861189040750618
Omi32_i_3_1	2800483	100554	0	0	0	100554	0.0346613986653737
Omi32_i_3_2	7507073	2868675	0	0	0	2868675	0.27647886205409
Omi32_i_3_3	1807334	9646050	0	0	0	9646050	0.842200872685313
Omi32_i_3_4	1272674	8107647	0	0	0	8107647	0.8643251121150332
Omi32_i_4_1	3382969	129163	0	0	0	129163	0.0367762373395988
Omi32_i_4_2	7660547	4613978	0	0	0	4613978	0.375898700764388
Omi32_i_4_3	1892678	8916276	0	0	0	8916276	0.8248972102203413
Omi32_i_4_4	1676844	10533289	0	0	0	10533289	0.8626678349859088
Omi32_i_5_1	8515388	1003067	0	0	0	1003067	0.10538128299183
Omi32_i_5_2	2987404	5269958	0	0	0	5269958	0.6382132695647835
Omi32_i_5_3	1508810	7772614	0	0	0	7772614	0.8374376604279689
Omi32_i_5_4	1147632	7092423	0	0	0	7092423	0.8607252014701359
Omi32_i_6_1	9879739	9119048	0	0	0	9119048	0.4799805377048545
Omi32_i_6_2	1248009	7048079	0	0	0	7048079	0.849566566796302
Omi32_i_6_3	1669408	9164722	0	0	0	9164722	0.8459121313847997
Omi32_i_6_4	5	9	0	0	0	9	0.6428571428571429
Omi32_i_7_1	14260253	26610907	0	0	0	26610907	0.6510925307723099
Omi32_i_7_2	264919	958624	0	0	0	958624	0.7834820680597249
Omi32_i_7_3	5	9	0	0	0	9	0.6428571428571429
Omi32_i_7_4	5	9	0	0	0	9	0.6428571428571429
Omi32_i_8_1	14724239	23686795	0	0	0	23686795	0.6166664245487378
Omi32_i_8_2	464308	1153854	0	0	0	1153854	0.7130645757346916
Omi32_i_8_3	5	9	0	0	0	9	0.6428571428571429
Omi32_i_8_4	5	9	0	0	0	9	0.6428571428571429
