sample	fastq_file	total_reads_considered	reads_matching_pattern	fraction_of_fastq_accepted
Omi32_d_2_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_2_1_R1.fastq.gz	1283329	973373	0.7584750286169798
Omi32_d_2_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_2_2_R1.fastq.gz	16104569	14912004	0.925948654695447
Omi32_d_2_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_2_3_R1.fastq.gz	17694318	16766094	0.94754112591398
Omi32_d_2_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_2_4_R1.fastq.gz	14181302	11899592	0.83910433611808
Omi32_d_3_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_3_1_R1.fastq.gz	597545	463757	0.7761038917571061
Omi32_d_3_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_3_2_R1.fastq.gz	12378924	9822259	0.7934662980401205
Omi32_d_3_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_3_3_R1.fastq.gz	15629767	13375756	0.8557872935661804
Omi32_d_3_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_3_4_R1.fastq.gz	15547751	14695233	0.945167760919248
Omi32_d_4_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_4_1_R1.fastq.gz	2072638	1955492	0.9434797586457452
Omi32_d_4_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_4_2_R1.fastq.gz	14278897	13132328	0.9197018509202776
Omi32_d_4_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_4_3_R1.fastq.gz	16940701	16116749	0.9513625793879484
Omi32_d_4_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_4_4_R1.fastq.gz	12915021	10237640	0.7926924780068109
Omi32_d_5_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_5_1_R1.fastq.gz	3634025	3289064	0.9050746761510996
Omi32_d_5_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_5_2_R1.fastq.gz	13448117	10863685	0.8078220170154676
Omi32_d_5_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_5_3_R1.fastq.gz	15456918	12222234	0.7907290444317554
Omi32_d_5_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_5_4_R1.fastq.gz	14606232	12749209	0.8728609130677919
Omi32_d_6_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_6_1_R1.fastq.gz	12674481	10218765	0.8062472143829794
Omi32_d_6_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_6_2_R1.fastq.gz	17136821	13362103	0.7797305579605459
Omi32_d_6_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_6_3_R1.fastq.gz	14850458	11914971	0.8023302042266979
Omi32_d_6_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_6_4_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_d_7_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_7_1_R1.fastq.gz	27716003	23313730	0.8411649399807035
Omi32_d_7_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_7_2_R1.fastq.gz	15939758	14622696	0.9173725222177148
Omi32_d_7_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_7_3_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_d_7_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_7_4_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_d_8_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_8_1_R1.fastq.gz	43030110	35876911	0.8337629394858623
Omi32_d_8_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_8_2_R1.fastq.gz	7700908	6623589	0.8601049382748113
Omi32_d_8_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_8_3_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_d_8_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_d_8_4_R1.fastq.gz	175008	149835	0.8561608612177729
Omi32_i_2_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_2_1_R1.fastq.gz	3425307	3234997	0.9444400166174886
Omi32_i_2_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_2_2_R1.fastq.gz	15241022	14558187	0.9551975582739792
Omi32_i_2_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_2_3_R1.fastq.gz	14897686	14343336	0.9627895231514478
Omi32_i_2_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_2_4_R1.fastq.gz	10557309	10115131	0.9581164101571716
Omi32_i_3_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_3_1_R1.fastq.gz	3187672	3041058	0.954005932856329
Omi32_i_3_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_3_2_R1.fastq.gz	10896042	10505353	0.9641439524553962
Omi32_i_3_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_3_3_R1.fastq.gz	12174992	11620199	0.9544317565054664
Omi32_i_3_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_3_4_R1.fastq.gz	9876142	9504259	0.9623453166226243
Omi32_i_4_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_4_1_R1.fastq.gz	4053240	3857516	0.9517117170461162
Omi32_i_4_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_4_2_R1.fastq.gz	13050189	12425562	0.9521365552636823
Omi32_i_4_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_4_3_R1.fastq.gz	11727733	11155534	0.9512097521319764
Omi32_i_4_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_4_4_R1.fastq.gz	12844829	12358172	0.9621126135661284
Omi32_i_5_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_5_1_R1.fastq.gz	10264521	9725524	0.9474893178161944
Omi32_i_5_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_5_2_R1.fastq.gz	9131255	8674710	0.9500019438729944
Omi32_i_5_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_5_3_R1.fastq.gz	9831285	9443977	0.9606045394879712
Omi32_i_5_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_5_4_R1.fastq.gz	8834889	8482662	0.96013226651744
Omi32_i_6_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_6_1_R1.fastq.gz	20709598	19668389	0.9497233601540696
Omi32_i_6_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_6_2_R1.fastq.gz	8765147	8410633	0.9595541295542448
Omi32_i_6_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_6_3_R1.fastq.gz	11518740	10992245	0.9542923097491566
Omi32_i_6_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_6_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_i_7_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_7_1_R1.fastq.gz	43822957	41870257	0.9554411629502774
Omi32_i_7_2	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_7_2_R1.fastq.gz	1713640	1611031	0.9401221960271704
Omi32_i_7_3	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_7_3_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_i_7_4	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_7_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_i_8_1	results_Omi-32/20251022_BA1_rep1-2_FINAL/grouped_fastq/Omi32_i_8_1_R1.fastq.gz	41057025	39035918	0.950773174627241
