"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","586_15 YG D-A","530_30 Blue C-A","Time"
70362.2,45914,100433,61615.4,49751,81164.8,580.58,21281.8,0.213
88673.3,60196,96539.5,54877.7,48188,74634,326.48,16267,0.213
113827,87345,85405.9,50307.8,43497,75797.8,706.09,16282.8,0.214
105221,68460,100727,70329.6,60677,75961.6,531.3,54905.8,0.214
92922.2,64975,93724.5,52871,46914,73857.6,711.48,18710.6,0.214
117584,81702,94318.2,75718.1,65634,75605,636.02,22803.1,0.214
173180,122645,92539.7,67117.7,56977,77200,931.7,54387.4,0.214
131837,88440,97694,56641,48373,76737.5,689.15,29319.1,0.215
104370,76581,89317,60955.9,53913,74097.3,545.93,40871.5,0.215
105827,75868,91415.2,54540,49541,72149,646.8,30448.1,0.215
104088,77784,87697.9,30042.7,27361,71959.4,338.03,17388,0.216
80008.3,57405,91340.9,65527.9,55776,76994.4,624.47,33571.4,0.216
85600.6,61077,91850,39571.9,35393,73274,188.65,15337.4,0.216
123766,87864,92314.4,58891.7,52081,74106.2,732.27,25035.8,0.216
111020,78253,92978.1,57888.7,52240,72622.4,535.92,21644.6,0.216
118356,84189,92133.3,54858.2,49008,73359.2,500.5,42693.1,0.217
73262.7,49960,96103.8,45859.7,39979,75176,623.7,20024.6,0.217
154354,105486,95896.5,71328.2,60675,77042.7,473.55,28694.9,0.217
60878.1,36941,108002,47704.3,41456,75413.7,162.47,11778.5,0.218
94395.5,56935,108656,67490.6,55583,79575.9,399.63,21227,0.218
97513.6,63334,100904,49995.4,44302,73958.2,596.75,20158.6,0.218
105690,72816,95123,71628.5,63604,73804.2,509.74,20459.5,0.218
83088,57470,94749.5,53229.6,46791,74554,168.63,18939.6,0.218
99589.1,65745,99272.5,52663,46241,74637.7,798.49,21744,0.218
103826,75665,89927.1,37104.5,33409,72785.2,360.36,18276.5,0.219
148186,99440,97661.8,86056.6,70344,80174.6,783.86,61006.3,0.219
85593,52388,107075,72452.9,59364,79985.7,565.18,52169.8,0.22
121201,76301,104101,76418.6,65168,76850.2,636.02,21052.8,0.221
105699,76785,90214.3,45797,40773,73611.3,609.84,13656.2,0.221
82372.5,59184,91213.2,33130.8,28708,75632.6,423.5,6670.08,0.222
74867.2,53537,91646.8,44299.4,39633,73252.3,451.99,25084.8,0.222
92778.9,74679,81419.9,95251.7,82219,75924.2,3903.9,19155.6,0.222
141693,103613,89622.2,94004.6,73264,84088.9,768.46,38372.4,0.222
137983,86312,104769,75759.8,63701,77942.2,655.27,27768.2,0.223
90648.3,66748,89002.3,44791.2,40668,72180.5,455.84,10902.2,0.223
104077,62175,109704,106325,83490,83460.1,1096.48,33527.5,0.223
110161,72548,99513.3,58037.8,50032,76022.6,334.18,21991.7,0.223
114887,70387,106969,87048.7,75183,75879.2,950.95,20716.6,0.224
86611.8,57009,99566.6,44353.4,38177,76138.7,384.23,25655.8,0.224
92570.9,67663,89660.9,57026.9,51010,73266.3,330.33,12965.8,0.225
115001,67218,112123,63048.2,52170,79201.3,636.79,27475.9,0.225
98457.6,66893,96460.3,51527.5,45309,74530.6,451.99,20373.8,0.226
108947,76377,93482.6,54085,48004,73837.9,716.87,47271.6,0.226
134324,92227,95450.2,84766.3,70911,78341.1,940.94,30587,0.226
148086,93834,103427,93011.8,77479,78674.5,717.64,56211.8,0.226
97017.6,70648,89997.5,45060.5,40492,72930.1,373.45,22394.9,0.227
94979.8,66681,93348.9,60098.4,53764,73257.4,455.07,16279.2,0.228
95383,69265,90247.9,35210.2,30813,74888.3,258.72,16969.7,0.228
140522,83492,110301,83121.1,66876,81455.6,759.22,50845.7,0.228
104751,78412,87550.2,53833,49148,71783.1,590.59,19169.3,0.228
148681,88782,109751,100786,80071,82491,714.56,51639.8,0.229
58008.3,44609,85221.2,61708.3,51757,78136.6,441.21,21643.9,0.23
128246,92226,91131.7,59206.3,51546,75275.4,349.58,51799,0.23
87735.7,60569,94930.5,60274.1,51693,76415,655.27,45058.3,0.23
89857.3,54453,108146,55917.4,46357,79051.7,477.4,30520.1,0.231
105354,72644,95045.1,50921.3,42908,77775.2,660.66,27672.5,0.231
78044.2,47235,108282,37686.2,31983,77222.4,438.9,37624.3,0.231
87411.2,55237,103709,86151.6,73373,76949.7,716.1,45860.4,0.231
94306.6,55569,111222,72550.8,61069,77857.7,1116.5,22272.5,0.231
83916.8,60956,90222,50145.8,40325,81496.8,627.55,47235.6,0.232
106261,73703,94486.4,68421.6,58420,76755.9,698.39,41490.7,0.232
129171,86913,97400,92224.1,78797,76703.4,696.85,22672.8,0.233
