step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,0.00013238886153809113,0.00012446487197531985,9.515475283904318e-05,9.170087736686028e-05,3.432420250914702e-05,2.482984110751077e-05,0.00014400223377029604,4.667352689931865e-05,1.8708239718850006e-05,0.00016952573676157936
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,0.00017123634250984003,0.0001465691755573796,6.710807233881627e-05,5.351164012044177e-05,3.330969704457257e-05,3.4769174428487074e-05,0.00010184954836976157,8.420566918759761e-05,2.6081216615805825e-05,0.00013749546382586328
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,0.00012203477436181218,0.00019098407078525637,4.101692600151431e-05,9.969856731233815e-05,2.5347022773380498e-05,3.1835751909641717e-05,8.074344034485084e-05,0.00012168869557850971,1.8690080387297465e-05,9.875969508012336e-05
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,5.6602546507001604e-05,2.96625088538303e-05,7.757259976796614e-05,6.71873183308817e-05,3.5441364258030573e-05,2.7846176729164706e-05,0.00010947032637351209,2.394573921992986e-05,8.799622929802168e-05,3.968480560580718e-05
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,0.00012884827595863993,7.161067247250128e-05,0.00010753419279729814,0.00010522536298450452,2.2965467582971194e-05,1.9635796198059168e-05,8.54728262901751e-05,9.508844271044768e-05,3.495807741909615e-05,6.86802488526512e-05
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,9.369539682043376e-05,8.344934711404055e-05,2.4441510106138724e-05,7.33794398428198e-05,1.6158451811407684e-05,1.8069605541266614e-05,6.534299854427659e-05,7.420791425621483e-05,1.246687191187696e-05,5.685764084538006e-05
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,0.00011663284194451937,0.00021078576137406355,6.949430239816541e-05,9.921065418475981e-05,2.8736088504533323e-05,3.97651741164666e-05,7.263671973662658e-05,0.00013189410242527624,2.159280703246099e-05,0.00014125771551700255
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,0.00011538907923376044,0.00011139576912690386,0.00013086540290124817,9.145349471203517e-05,9.349717890998483e-05,7.320274946841176e-05,9.483895979971932e-05,9.138589746679562e-05,0.0001673588521133104,5.340487790433546e-05
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,8.762292200361017e-05,4.148737313457785e-05,7.347271898894496e-05,4.268978201389475e-05,5.578068721862145e-05,5.798875883667361e-05,0.00018309018454972813,3.095937719305909e-05,8.13680690924938e-05,8.73447799791633e-05
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,8.595742496602868e-05,7.892362273482225e-05,9.721089682211772e-05,8.353091906656494e-05,8.862519608054781e-05,6.410983661993013e-05,7.719734090940205e-05,8.612125998617068e-05,0.00012699277046248695,2.77247457826329e-05
