step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,3.9334212769025997e-05,5.4640642204101365e-05,3.5808901380065714e-05,3.949717150559874e-05,3.4851420035615504e-05,3.7110850967329414e-05,3.767036460548877e-05,3.903137044643162e-05,1.575117509102069e-05,1.875374325007992e-05
wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,3.617538335139856e-05,3.873414459887309e-05,8.615468569395185e-06,2.4689176873110952e-05,5.76244236090458e-06,7.138767837921679e-06,2.1029950760775225e-05,2.3197185018618483e-05,3.4484173821467582e-06,1.9978287370608173e-05
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,2.410265502551608e-05,2.1635687563878952e-05,4.205254876668136e-05,2.3631784004567455e-05,1.8838159363873933e-05,1.1834202280683772e-05,2.8373830276175907e-05,1.9789247174895125e-05,2.3427282816016884e-05,1.1089142751777259e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,2.829805878045856e-05,2.6078813990685534e-05,6.385093452158852e-06,8.49968568944105e-06,5.2324416537288256e-06,3.995102545843071e-06,1.732822085082568e-05,1.0034070374478108e-05,3.6393461362496703e-06,1.866719684609688e-05
ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,4.273064802255423e-05,4.872020404657798e-05,8.046461978289423e-05,4.499708571389565e-05,3.7811223958599456e-05,3.173146511833845e-05,4.5381402793783785e-05,4.0530506275458303e-05,3.880408134412621e-05,3.122651958493958e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,3.477982068487924e-05,4.734640357695349e-05,6.793689185269138e-05,4.101867189698102e-05,3.2622664808022604e-05,3.0208623865868287e-05,4.4937909711509485e-05,3.2419697103994676e-05,3.5566777234194544e-05,2.751234341908522e-05
wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,3.56260663294803e-05,5.562665268820658e-05,3.610211322024833e-05,3.830681620846128e-05,2.621456078981056e-05,3.23383737962807e-05,4.4788608836269126e-05,3.9723501434874904e-05,1.4841520374039878e-05,2.100938664725743e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,3.056872489627699e-05,2.3663011834242418e-05,7.312974218202458e-06,8.966121663094494e-06,5.51952378026645e-06,3.6908904517250008e-06,2.056055583496452e-05,1.0731528854457866e-05,4.295518180008524e-06,1.765492997715005e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,5.5737282803574e-05,2.2644659263718997e-05,0.00010196504635927886,7.601809838638914e-05,3.642780023313331e-05,2.53428868394173e-05,0.00013812106904278335,1.839030328965199e-05,9.297644557370189e-05,4.903250017839991e-05
wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,2.9606999428954876e-05,3.315512991875561e-05,7.259028654252186e-06,2.1094526424298113e-05,5.148981597706442e-06,6.149334539952447e-06,2.0789838757805225e-05,1.6664550595424056e-05,3.0362871678180434e-06,1.9198706150919607e-05
wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,4.9656381668253006e-05,7.9407745654627e-05,5.577687685166209e-05,5.9461232447144044e-05,5.333870385947096e-05,5.515396007437175e-05,6.372788625268064e-05,4.983682044013384e-05,2.314894255229962e-05,3.295706314042688e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,5.939260553577763e-05,2.329422297939902e-05,4.3153100499712344e-05,3.0398051981843447e-05,3.2143994843763535e-05,2.696465483925637e-05,0.00010512088305299865,1.700589443366718e-05,5.103148826047119e-05,5.464719419104243e-05
ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,6.49410875880258e-05,7.517772797979978e-05,2.757851402563944e-05,2.360525666957036e-05,1.6514980877987304e-05,1.3465428288360266e-05,3.8871165460342755e-05,3.5690184326602266e-05,1.0277572469384368e-05,5.765262922413151e-05
ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,4.313062605041425e-05,4.2150680656394645e-05,9.744693722835521e-06,1.5507474997730567e-05,8.05853980439744e-06,7.802984669270535e-06,2.4394151642734323e-05,1.496295991120347e-05,5.043759167038769e-06,2.825294946129976e-05
ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,5.172208485134206e-05,5.364131313424855e-05,8.650982676646247e-05,4.88061909748762e-05,3.8907608061934184e-05,4.0926521584716655e-05,5.146486996039386e-05,4.51727290190213e-05,4.268031201261779e-05,3.3660513885145835e-05
ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,6.553261675493672e-05,5.798853437566681e-05,9.774006224693295e-05,6.902804639049793e-05,4.451762400653811e-05,3.6880352030262124e-05,6.527125539629705e-05,4.9301301446198476e-05,5.867916014751432e-05,2.6071351442015292e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba4,ba4,ba4,ba4,ba4,3.522220539225105e-05,3.647627943864991e-05,8.199705807358343e-06,2.352683426486122e-05,5.810774695104831e-06,6.792436700225581e-06,2.02269266580181e-05,2.2314431496636663e-05,3.2703616492997177e-06,1.9138797209912212e-05
ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,4.745706100961117e-05,4.571402403403342e-05,1.0115982168592686e-05,1.860942560119941e-05,9.645864718260754e-06,8.045867733647416e-06,2.9921938753516752e-05,1.8160491603554613e-05,5.826063418310687e-06,3.578544009167096e-05
