"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
126560,86938,95403.8,24588.8,17107,94198.5,37792,0.168
92237.5,62512,96699.5,43680.4,28324,101068,32803.3,0.174
138779,98366,92460.8,34357.9,25335,88876.1,60762.8,0.196
147275,90483,106670,59639.5,37399,104509,72540.4,0.197
85063,52927,105328,31213.5,20607,99267.7,37910,0.228
83809.8,54112,101504,35179.6,23604,97675.5,38790.4,0.234
83136,54068,100769,31085.2,19716,103327,53336.3,0.242
94251.8,69682,88643.9,45743.6,33798,88699,57639.8,0.245
133328,87522,99835.3,109807,78518,91652,75724.7,0.264
76716.2,53415,94124.8,26448.4,18939,91521.3,33206.9,0.302
93241.5,62654,97530.4,38968.4,28183,90616.2,33299.4,0.304
89116.4,61631,94762.9,32031.2,21266,98711.4,33899.7,0.305
73100.9,56776,84379.7,31477.1,24872,82940,39553.6,0.322
70222.5,45079,102090,35728.9,23935,97828.6,40943.9,0.326
108593,65514,108630,91549.9,57655,104064,49575.8,0.328
104002,59705,114159,53593,33204,105779,37549.8,0.329
78819.9,49358,104655,49119,33022,97482.4,47975,0.353
81084.1,60731,87499.4,32024.3,24411,85975.3,31047.2,0.36
97055.6,68245,93202.9,35259,24497,94327.2,47961.2,0.364
123799,94450,85900.5,30220.6,23354,84805.1,52148.1,0.367
97279.9,65025,98044.4,37464.9,25349,96859.9,43369.3,0.374
107059,68922,101800,41213,27095,99683.9,56288.8,0.388
121865,77747,102725,83717.7,56503,97101.5,41405.5,0.389
119308,75713,103272,64019.6,38465,109075,76552.7,0.39
102135,65371,102393,52101.2,33366,102335,38526.8,0.394
105178,72847,94622.2,33599.6,23643,93134.6,44493.3,0.406
124099,77586,104825,29705.9,19902,97819.5,35557.1,0.424
96909.3,55745,113930,40230.4,25121,104954,31154.9,0.425
106166,76001,91547.1,24675.8,19157,84415.7,32297.5,0.425
82774.6,59984,90436.1,24683.4,18080,89471.8,43075.3,0.426
100559,59360,111021,49060.4,30152,106634,50407.9,0.433
100504,70404,93554.8,32027,23092,90894,47755.6,0.448
119695,84350,92997.1,36097.4,26275,90035.2,36937.1,0.451
80528.2,56334,93682.2,31408.1,21591,95334.2,34402.7,0.454
89684.4,55394,106105,37348.3,23726,103164,46529.5,0.457
80178.9,56045,93756.9,36188.4,27696,85631.3,40294.6,0.465
80041.1,64906,80818.1,18505.8,15607,77708.5,35960,0.47
147875,90403,107199,90138.1,57071,103508,89092.1,0.48
108856,82671,86294.1,43881.9,33471,85920.5,36652.1,0.482
95229.5,70719,88250.1,36630.7,28242,85002.2,44401.5,0.497
122194,75377,106241,112845,75321,98185.6,31012.7,0.498
138567,96863,93752.4,57326.6,41535,90452.8,51095.2,0.501
107019,63982,109618,45925.7,30378,99077.9,34324.7,0.522
106495,67762,102997,60483.3,39626,100031,49131.4,0.538
96371.1,63243,99865.3,60958.7,38422,103977,32695.7,0.539
116517,87443,87325.9,37472.5,27951,87860.9,42884.2,0.545
112732,83307,88684.4,43436.2,33851,84093.1,53436.4,0.574
129878,81447,104506,68559.8,46207,97239.2,47372.6,0.577
80062.4,54531,96220,33792.1,23603,93826.9,35825.5,0.58
111481,72816,100336,59771.9,40128,97618,45411,0.593
147367,102786,93960.6,44106.9,32670,88478.4,47514.8,0.597
134862,83712,105580,34559.3,22056,102688,35786.2,0.613
75378.6,44890,110047,46406.6,30979,98173.1,39710.9,0.619
74752.4,51724,94713.7,34651.1,23660,95980.4,37108.2,0.631
72868,52110,91642.2,27782.2,21251,85677.5,38272.2,0.644
114189,76397,97955.6,45638,32013,93428.6,55317.3,0.661
104651,72855,94137.9,38849.8,24347,104574,39905.5,0.68
108459,76128,93368.6,44324.2,32724,88767.6,39985.5,0.691
117062,80191,95668.7,39855.1,27954,93437.2,31700.7,0.696
124035,90726,89596.7,33260.1,22542,96696.5,31078.3,0.719
125329,85470,96098.9,58482.3,40935,93628.9,73601.6,0.72
116463,73002,104553,32863.3,21923,98240.7,34210.2,0.747
116329,81031,94084.4,46876.5,35279,87080.1,36336.8,0.764
104516,77659,88200.7,36216,27883,85121.9,36243.6,0.781
79941,53514,97899.9,38404.7,27671,90957.7,54263,0.793
127169,92206,90386,37320.7,27786,88024.6,35773.7,0.818
102329,74010,90612.9,75577.1,54554,90791.1,42927.7,0.827
80959.2,50167,105762,35746.1,23959,97777.8,43572.8,0.83
100964,76556,86430.6,31834.5,24796,84138.9,35567.4,0.844
75267.8,46710,105604,25471.3,16286,102498,33923.2,0.846
110992,80862,89955.5,32848.1,24510,87830.9,39529.4,0.852
78031.8,50738,100790,25552.8,17862,93753.6,35399.1,0.895
110970,84474,86092.1,30264.1,23411,84720.3,31133.5,0.909
90356.7,59542,99452.8,31553,21550,95956.3,36870.1,0.937
139107,101856,89503.8,38017.6,28592,87140.6,45075.6,0.944
89452.2,62150,94325.6,24657.2,18138,89090.9,59746.4,0.96
84803.1,56527,98318.6,36434.8,25234,94625.8,42497.8,0.965
95806.7,68222,92034.6,28920,20990,90295.3,37119.2,1.001
83649.4,58530,93662.1,54781.2,40286,89116.3,42181.8,1.005
112345,76384,96390.2,39221.7,28692,89587,48451.8,1.005
119925,73568,106832,59480.1,37832,103037,47250.5,1.016
96360.5,69795,90480.4,39304.5,28755,89579.5,44275.9,1.02
82601.4,56067,96551.7,49110.1,36071,89226.2,33741.7,1.03
80295.3,52831,99605,29024.8,21042,90398.9,41455.9,1.042
103246,63855,105964,63132.9,42847,96564,100122,1.047
100101,67134,97718.7,35559.8,23207,100420,38689.7,1.053
95954.4,70847,88761.2,41577.3,33119,82273.4,41797.4,1.094
117901,80818,95607.1,47235.3,30390,101863,35612.3,1.11
118464,79903,97163.1,39688.1,26962,96469.1,57321.1,1.112
75529.8,44770,110563,36060.8,21950,107666,45218.5,1.139
147517,96043,100660,47195.3,32863,94117.8,53220.4,1.145
67882.4,41930,106099,33182.1,22487,96705.8,52634.6,1.147
91105.1,65447,91229,45586.9,32415,92166.7,99189.6,1.172
121167,78599,101029,63094.3,41643,99295.1,48473.2,1.172
123757,85418,94950.8,43699.8,32535,88025.5,36701.1,1.198
96368.3,59742,105714,45335.8,27555,107825,42671,1.201
102165,70145,95452.5,33849.3,22805,97274.7,41551.1,1.212
53744.9,35923,98049.3,58535.5,36483,105150,31911.1,1.221
114774,84707,88797.9,42289.4,32519,85226.4,48234.4,1.233
75658.3,51790,95739.4,28507.3,20327,91910.2,32177.5,1.253
100917,59097,111912,57977.2,34957,108693,45431,1.253
87437.2,61515,93152.6,30242.7,20971,94510.8,33145.5,1.255
90656.3,60920,97525.5,34985.8,24376,94060.8,36194.6,1.273
106700,77207,90570.3,39214.8,28883,88979,35018.2,1.28
106733,81479,85848.5,48414.5,37931,83649.1,39834.4,1.295
82432.4,55567,97221.2,41455.9,29618,91729.8,33406.4,1.302
133919,90839,96616,46752.3,34515,88771.9,30977.6,1.309
97462.4,64482,99055.5,46739.9,32202,95122.9,57324.5,1.311
84146.4,63371,87021.1,26056.5,19775,86353.3,33431.9,1.314
98011.2,69875,91925.1,27983.6,20339,90168.4,42446.7,1.325
103850,73267,92892.2,40798.3,30823,86745.6,33523.6,1.326
72029.5,54823,86104.8,29095.2,21339,89356.8,38227.4,1.337
64343,46799,90104.2,47262.2,38066,81368.6,33059.3,1.35
83256,58751,92871,23511.8,17067,90283.4,31575.8,1.36
93506.3,58866,104101,25331.3,16730,99229.6,32304.4,1.365
91366.3,57950,103327,42782.8,26295,106629,68943.4,1.398
71673.1,47222,99469.9,28323.1,20270,91573,36148.4,1.4
100849,65689,100614,40182.1,25309,104049,57004.4,1.407
126313,92469,89522.6,44970.8,35601,82784.3,33237.3,1.426
118587,82271,94464.9,49277.7,37090,87071,34239.9,1.43
105901,74197,93539.6,70443.5,49221,93793,58076.6,1.443
85544.3,55343,101300,36124.3,25515,92786.2,33532.6,1.444
100066,65342,100363,48107.5,29694,106175,47888.1,1.449
117339,78471,97997,35016.8,22943,100024,39572.9,1.484
94122.6,61291,100641,22992.9,16566,90961,33322.9,1.504
97207.5,67338,94606.2,33898.3,24707,89916.2,45384.8,1.513
93083.8,66637,91545.9,56032.1,39421,93151.4,55847.9,1.524
112431,69781,105592,38745.6,24633,103082,54990.2,1.529
73857.8,50166,96486.5,30100.6,22238,88707.2,31113.5,1.547
135332,96531,91878.2,50594.2,34863,95107.8,32503.8,1.551
92191.4,56855,106268,47625.2,32427,96252,32319.6,1.572
86377.2,64988,87105.5,31375.7,24456,84079,73263.5,1.594
120777,87644,90311.6,37041.3,28428,85392.5,37861.7,1.596
90052.8,52550,112306,35014.7,21654,105972,38951.9,1.597
116223,81387,93587.1,43579,32886,86845.3,39802.6,1.603
98629.6,62359,103655,57116.8,34555,108326,71063.8,1.609
119030,78906,98861.4,35311.4,22871,101184,53812.4,1.619
104119,71113,95953.2,26096.5,18601,91944.5,41886.4,1.639
78572.9,53660,95962.6,32722.6,25128,85343.3,31084.5,1.646
88268.6,60323,95896.6,62153.1,42487,95870.9,105562,1.646
137109,91119,98613.5,50678.4,34783,95485.2,46698.5,1.661
107687,80470,87702,35036.8,25646,89533.4,44190.4,1.687
122644,84087,95586.7,46049.9,32191,93750.6,61574.2,1.695
117778,73493,105026,57423.2,38485,97785.8,45671.8,1.699
98871.8,63621,101848,83154.7,53857,101187,53214.2,1.712
108129,69320,102226,33821,22172,99968.2,34657.3,1.717
108546,77953,91255.5,40989.4,30449,88222.4,36944.7,1.721
149577,94007,104276,65932.3,47819,90360.2,40690,1.727
70145.2,50053,91843.3,56241.9,37285,98856.6,100725,1.755
106582,80790,86457.9,43931.6,35306,81547.1,38812.5,1.755
102659,73238,91862.9,43836.4,33866,84830.3,32305.8,1.773
106445,64850,107571,60189.4,39262,100468,73092.4,1.793
107242,66186,106189,86439.8,52958,106970,46624.7,1.794
96867.4,69394,91482,28137.5,20422,90295.8,41169.5,1.813
110733,64790,112008,74293,44846,108569,112574,1.84
160722,115178,91450.4,39463.9,27491,94078.2,40422.3,1.844
113126,63592,116585,73742.4,48780,99073,46970.4,1.87
114826,72029,104475,45838.1,28745,104507,68403.8,1.878
101746,75019,88884.4,39173.4,28854,88974.4,48878.9,1.88
153834,102411,98442.9,56844.3,38559,96614.2,42949.1,1.892
126266,73072,113244,104014,66036,103226,43939.9,1.91
142198,84539,110234,84655.4,53798,103126,57099.6,1.931
121566,87370,91186.5,59880.3,45507,86235.4,45325.4,1.935
