"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
71795.2,51864,90721.3,23661.5,18165,85366.3,1207.5,0.196
112473,82511,89333.5,33603.7,25339,86911.5,1108.14,0.207
73757.6,53220,90826.4,26175.8,18692,91775.1,1166.1,0.263
88307.7,62360,92805.2,48064.7,35580,88532,1138.5,0.273
91031.2,57622,103534,35986.9,22574,104476,1331.01,0.284
66468.8,48490,89835,27095.6,20743,85606.6,1903.02,0.33
86054.8,57125,98725.4,31197.7,20789,98348.6,336.03,0.335
83021,63919,85121.2,27122.5,23202,76609.8,1506.96,0.344
78673.7,58874,87576.1,47964.7,37251,84384.6,465.75,0.377
86470.2,59330,95515.1,31300.5,22286,92044.7,656.88,0.436
100022,69858,93833.8,28948.3,21342,88892.9,628.59,0.454
113069,80862,91638.6,22967.3,16739,89921,675.51,0.468
126707,94160,88189.1,36169.8,25840,91734.7,1932,0.491
85905.7,61117,92117.1,33741,25929,85281,1359.99,0.532
102153,66078,101315,25516.2,17639,94803,961.17,0.548
127272,88683,94052.8,48387.6,35119,90296.8,2053.44,0.552
112979,86983,85122.1,28601.9,22411,83639.9,970.83,0.56
94638,68091,91086.9,31298.4,22390,91611.1,1322.73,0.563
84050.5,66594,82715.2,27499.3,22434,80333,1437.27,0.6
92647.9,63718,95291.3,26197.9,17434,98480.4,1414.5,0.649
114237,73245,102213,52338.6,35197,97453.2,954.27,0.7
110699,80164,90499,27706.9,20196,89909,712.77,0.754
91998.2,69392,86886.1,22125.5,17008,85255.1,1047.42,0.756
83840.3,58506,93914.5,54176.7,41207,86163.2,1242.69,0.788
124805,83750,97662,36826,25882,93247.4,1195.08,0.804
86533.4,64759,87571.6,32312.7,24907,85022.1,2244.57,0.825
81900.6,58166,92278,24928.3,18318,89185.6,1535.25,0.871
80883.2,61787,85790.9,33348.4,26678,81922.2,2183.85,0.915
151392,108575,91380.3,36825.3,25506,94620.2,600.99,0.928
70307,45197,101946,28796.5,19353,97514.9,2123.82,0.931
125153,82009,100014,34796.7,22269,102404,501.63,0.934
74006.9,52166,92974.6,48845.1,33850,94567.6,522.33,0.986
111510,82119,88992.2,30527,22279,89798.3,1692.57,0.999
87185.9,65075,87803.5,22309.8,17751,82366.8,928.74,1.018
83560.6,61645,88834.9,42452.9,32605,85330.4,2203.17,1.029
100042,70358,93185.5,50572.9,33774,98133,927.36,1.039
110286,76898,93991.2,25101.5,18062,91078.1,734.85,1.062
93729.2,60944,100792,25403,17892,93047.9,321.54,1.076
92709.7,69851,86982.6,25296.1,19423,85352.6,1168.86,1.122
90603.1,67466,88011.2,33952.1,26090,85285.1,282.9,1.147
79777.7,57950,90221.1,28154.1,20295,90914.3,538.2,1.22
72588.3,51181,92947.5,23221.9,16797,90603.9,915.63,1.251
74831.2,53211,92163.9,28540.5,22342,83718,722.43,1.28
92929.1,74396,81861.9,22160,18104,80218.8,1496.61,1.346
69372,53138,85557.6,22409.8,18254,80456.3,367.08,1.35
87260.4,64158,89134.6,24036.2,18499,85152.3,1560.78,1.352
80846.3,57030,92904.5,32104.3,22286,94408.5,1302.72,1.372
104384,68675,99613,26413.9,16219,106730,1900.95,1.38
80369.2,55120,95556.5,32541.8,22948,92934.4,2161.08,1.382
79203.3,53323,97343.9,21411.4,15302,91701.5,947.37,1.444
91560.9,69249,86651.6,34253,28053,80020.1,693.45,1.486
105380,77477,89138.2,31052.1,23281,87411.6,1150.92,1.547
79798.3,51860,100842,24902.8,16608,98267.7,1797.45,1.559
93782.5,71402,86077.8,15335.9,11815,85066.1,554.07,1.579
83519.4,55487,98645.3,35437,23983,96835.3,180.78,1.645
90107.5,70329,83966.6,30355.2,24285,81917.1,1547.67,1.675
95001.5,61683,100936,25222.9,15579,106105,1806.42,1.714
76923.5,55380,91030.3,23184.7,17412,87263.5,980.49,1.743
84409.1,57247,96630.9,35916.6,24447,96282.9,1727.76,1.745
74219.9,58639,82949.4,13731.7,11010,81736.6,565.8,1.757
75715.8,58489,84838.4,16399.2,12909,83255.1,671.37,1.811
87148.2,59522,95953.5,35127.9,25398,90642.6,1553.88,1.83
83072.8,54458,99971.8,26877.6,17735,99320.5,1215.09,1.85
92610.3,65122,93199,25087,18922,86888.4,436.77,1.874
92591.1,70402,86191.4,27011.4,20702,85509.7,677.58,1.881
90160.8,60350,97908.5,29032.4,22243,85540.2,2201.79,1.882
105150,69802,98724,43080.1,30551,92412.7,1987.89,1.892
71536,44187,106099,41834.7,25510,107475,805.92,1.896
96494,72085,87727.4,32184.4,25761,81877,1537.32,1.896
94335.6,68903,89725.8,28541.8,20831,89795,1028.1,1.897
68020.1,48925,91114.3,20574.4,16681,80832.4,580.98,1.909
87099.2,57621,99063.5,28360.4,20917,88857.2,204.24,1.915
