"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
118616,87900,88437.2,33148.3,25240,86070,26360.8,0.179
81943.9,52809,101692,35886.9,25497,92241.6,28940.7,0.185
68881.4,52269,86364.9,55948,45181,81153.7,13437.8,0.189
108177,75446,93967.7,28383.2,20506,90710.9,14712.9,0.198
112380,85587,86052.2,21646,17487,81122.6,20678.6,0.206
70426.3,52711,87561.6,22640.3,17367,85435.2,18070.4,0.246
100452,68882,95572.7,56126,41730,88144.6,26039.9,0.275
87282.4,64821,88245.2,23767.7,19253,80903.9,25940.6,0.279
125335,86787,94644.9,40354,28891,91538.5,21212,0.28
74580.5,45762,106807,22342.9,13730,106647,25378.9,0.287
68380.8,47690,93969.5,27166.7,20183,88212.6,30220.6,0.306
85197.2,60106,92893.9,25174,17959,91864.8,22592,0.306
99970.8,78122,83864.8,30634.6,24375,82366,17874.4,0.315
79050,45606,113595,48084.7,29510,106787,16634.5,0.321
79240.3,53441,97174.3,23082.6,16325,92664,12099.8,0.349
102726,67918,99123.6,34431,22855,98729.8,27320.6,0.349
75877.7,56273,88367.8,45892.6,33221,90533.6,10367.2,0.356
90269.4,59303,99757.1,40018.6,26215,100044,23409.6,0.36
114441,81639,91868.2,37387.6,28211,86854,22361.5,0.362
79955.9,53158,98573.9,21757.8,15598,91416.7,18596.2,0.364
107160,79043,88848,37932.1,27899,89104.1,14935.7,0.365
79973,60497,86634.2,22267.7,17317,84271.8,29309.1,0.381
123908,84330,96293.9,40336.7,29466,89713.8,25545.2,0.385
91213.7,66103,90431.3,26953.5,19383,91132.6,22296.7,0.387
92002.5,63699,94655.7,25665.9,19119,87977.5,21844.7,0.394
74314.3,53475,91075.5,19698.1,15103,85475.5,19855.4,0.412
94719,52263,118774,56790.4,35263,105545,12758.1,0.416
90152.2,52432,112683,28891.7,18928,100034,18632.1,0.417
95825.9,67803,92621.9,27533.8,20598,87603.3,19193.7,0.438
114063,75743,98692,68623.3,47058,95569.2,19547,0.443
88965.1,54097,107777,41030.9,26833,100212,24953.8,0.452
82917.3,61730,88029.7,33520.2,25834,85034.4,27711.8,0.495
74878,50511,97151.2,40507.1,27922,95074.7,13940.8,0.505
83944.7,61751,89090.1,23776,18639,83598.1,18268.4,0.531
106455,81083,86042.8,34106,26630,83934.4,24802.1,0.536
77507.9,58959,86154,24054.1,20331,77537.2,22588.5,0.568
92748.7,60444,100562,33875.6,22344,99358.6,20948.4,0.581
98247.7,74344,86607.6,31499.2,24257,85102.5,28428,0.585
70571.2,49421,93582.7,29617.6,22729,85398.2,10253.4,0.587
71055.4,43705,106548,47321.6,32249,96166.3,11082.8,0.601
99221.1,68834,94467.2,38476.5,29754,84748.1,15252.5,0.602
91097.3,53314,111981,29176.7,18094,105677,10581.2,0.605
86838.7,56315,101058,34092.2,23286,95948.9,20061.8,0.606
90148.7,64918,91006.9,36948.1,27850,86945.5,30807.8,0.613
104016,74294,91754,30834.7,24778,81555.6,14585.9,0.613
