"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
122243,98825,81065.8,110216,102751,70297.5,35104.8,2496.03,0.197
122787,104733,76833.1,127153,114031,73077.4,87229.6,5649.78,0.198
119640,98632,79494.8,101945,95210,70171.8,22200.4,1557.3,0.199
140286,114212,80497.6,126250,116966,70738.1,23006.5,3379.08,0.201
114652,94377,79615.3,157862,139723,74044.1,49428.5,71860.3,0.202
168962,160945,68800.5,128848,116567,72440.7,33058.4,3037.17,0.204
104410,90464,75639.3,126440,113890,72757.6,44048.9,3751.44,0.207
131785,106012,81468.7,177821,158734,73416.3,24095,1732.17,0.209
132376,104504,83015.3,106328,96974,71857.3,35673,8380.71,0.213
118232,107685,71954.5,77461.6,73635,68941.8,30872.4,1696.5,0.214
98467.1,74987,86056.8,98550.5,89620,72066.6,87176.1,2764.86,0.214
153899,132339,76212.6,135215,123689,71642.9,83922.3,3795.81,0.215
150648,128521,76819,153711,139151,72393.4,75965.2,7933.53,0.218
119427,98225,79681.8,124109,114775,70865.8,30142.5,2912.76,0.22
120788,99897,79241.1,140154,127343,72129.1,61485.4,3120.69,0.232
132940,110681,78716.2,68478.1,63295,70902.6,5994.85,515.91,0.233
107381,87036,80855.3,70401.3,66574,69303.6,37341.5,1632.12,0.235
130510,120064,71237.8,125924,118086,69885.9,9402.82,18616.3,0.238
107451,95157,74003.3,116299,110227,69146.2,7527.99,5093.85,0.238
139401,114776,79596.5,107939,100330,70506.1,32932.9,3740.13,0.238
141615,117388,79061.4,105976,97566,71185.1,14095.8,1448.55,0.241
119744,109768,71492.4,145033,135402,70197.3,13751.3,1907.04,0.242
112640,94900,77786.7,131802,122322,70615.1,39898.3,1780.89,0.244
106284,89454,77866.3,156994,136581,75330.9,38343.1,2738.76,0.245
135786,105321,84492.9,136175,120123,74293.5,37252.2,2771.82,0.246
117015,99457,77105.8,108462,101011,70370.1,37760.7,1711.29,0.247
158647,138360,75145,169004,152458,72648.7,86211.6,6145.68,0.247
104640,87840,78070.1,140882,127334,72508.9,11633.4,937.86,0.25
129759,102011,83362.2,127785,116626,71806.6,53573.4,2366.4,0.251
124192,96788,84091.6,134180,122534,71764.9,85481.2,4420.47,0.252
131543,123169,69991.4,106008,100407,69192.1,15033.9,869.13,0.253
125957,106280,77669.4,136830,126234,71036.9,70933.3,3216.39,0.253
105412,87710,78762.9,86872.9,81521,69838.5,51964.6,2595.21,0.256
170391,138149,80831.1,172735,151923,74514,55740.6,3025.86,0.258
94641.8,82336,75330.9,118420,109122,71120,4657.23,18107.3,0.264
143108,133749,70121.8,96096.7,90455,69623.5,15108.6,568.11,0.267
127119,114149,72982.2,91756.7,83171,72301.2,6943.31,5869.89,0.271
101499,87015,76444.7,166661,145225,75209.3,117953,6254.43,0.273
93930.2,74931,82153,89379,83145,70449.7,45550.5,2241.99,0.274
155719,129032,79090.6,167589,148730,73846.1,29104.8,2675.25,0.275
189646,165336,75172,165485,149498,72544.3,26361.4,932.64,0.275
139825,121068,75689.6,134239,122510,71810.4,33507.2,1781.76,0.278
121624,106824,74616,118683,114302,68047.6,7840.54,561.15,0.278
104899,83464,82367,84182.6,73562,74997.9,37370.6,2076.69,0.279
119054,96536,80822.9,167850,148654,73998.9,52771.6,9272.46,0.28
110515,90421,80100.2,125976,107959,76472.8,38064.4,2427.3,0.281
165654,142802,76023.4,130235,119768,71263.5,31913,1156.23,0.283
140656,106604,86469.9,85802.3,77866,72215.6,42377.6,3488.7,0.283
104862,88217,77901.2,121362,114431,69505.5,6087.91,887.4,0.283
114706,96307,78056.1,155340,146109,69676.6,76234.9,60213.6,0.283
133562,103406,84648.3,168716,148513,74451.2,42585.8,3021.51,0.283
122752,101411,79327.7,132668,121787,71391.5,62581,3573.96,0.283
158896,132599,78533.1,134721,123965,71222.2,127612,5681.97,0.283
109462,87761,81741,119751,110087,71289,4869.2,2496.03,0.286
134216,109752,80144.4,122250,111534,71832.5,58839.3,4143.81,0.289
96462,75620,83598.7,106581,99462,70226.7,6424.9,6533.7,0.29
125100,105032,78057.5,82032.9,78122,68816.8,42762.9,3786.24,0.294
117630,88670,86940.6,79574.8,62577,83337.5,11471.3,509.82,0.295
125442,104841,78413.4,159881,144427,72548.4,88713.9,6200.49,0.296
143577,116160,81004.1,132336,121590,71328.3,55518.8,4153.38,0.298
114507,92128,81455.4,70061.5,66502,69043.8,19627.7,2108.01,0.299
98331.4,83124,77525.7,133649,120886,72455.3,19499.8,3922.83,0.303
161012,132697,79520.1,106410,98939,70484.9,21282.5,1697.37,0.304
114244,94061,79598.4,165781,147035,73891.5,47023.5,3397.35,0.305
