Params:	79
Performance_R2:	0.7604131727811017
Alpha:	0.05
Alpha_Bonf:	0.0006329113924050633
Term	Coefficient	StdErr	p_value	CI_lower	CI_upper
Intercept	7.992611884280487	0.028993063411680627	0.0	7.893451754805983	8.091772013754992
1	0.007924213595444048	0.021207069221098312	0.7086801244036194	-0.06460678114213442	0.0804552083330225
2	0.138936348499142	0.0211033186065322	5.2609120596198836e-11	0.06676019464979098	0.211112502348493
3	0.17168942942859158	0.02114394609575328	6.349188257592631e-16	0.09937432416751209	0.2440045346896711
5	0.4310001469296112	0.021258648575160053	1.3385802931108761e-86	0.3582927439472623	0.5037075499119601
6	0.006470210145535477	0.02116051719128756	0.7597990421998014	-0.06590157046424316	0.07884199075531412
7	0.15579702907618356	0.021241432148054396	2.737315357684402e-13	0.08314850856225975	0.22844554959010738
8	-0.16786717781131044	0.02132973037963202	4.65821008506939e-15	-0.240817690010324	-0.09491666561229689
9	-0.08395743472391848	0.02131798402522253	8.361146279085612e-05	-0.15686777282999265	-0.01104709661784431
10	-0.08915772539340516	0.02124548015766791	2.7759624637171973e-05	-0.16182009063810787	-0.016495360148702454
11	0.5416556601973498	0.021286880893139543	2.0096017145888145e-131	0.46885169893599254	0.614459621458707
12	0.23289973598581099	0.021250721994225282	1.6282919023868644e-27	0.16021944296354532	0.3055800290080767
13	0.014434446477071379	0.02114571076435264	0.49489233799915133	-0.05788669418510759	0.08675558713925036
1,2	0.008759361009656073	0.011677617379942178	0.4532448193172738	-0.031179642154882815	0.048698364174194965
1,3	0.0009980975301191238	0.011680290181404552	0.9319072862768061	-0.038950046970583706	0.04094624203082196
1,5	0.015111406765241133	0.011724922769173895	0.19754127106894942	-0.02498938711642388	0.05521220064690615
1,6	0.005760228654519037	0.011660135261456902	0.621329125081318	-0.034118983341771304	0.045639440650809375
1,7	-0.01397711368691749	0.011703366327357257	0.2324470450574998	-0.05400418167314344	0.026049954299308467
1,8	-0.0035085541320378655	0.011667579155048041	0.7636533492104909	-0.04341322523355661	0.036396116969480884
1,9	-0.017351870392219915	0.011667010953300923	0.13703445838870892	-0.05725459816826071	0.02255085738382088
1,10	-0.0014116158064753307	0.011665204729583975	0.9036892723921881	-0.04130816605739264	0.03848493444444198
1,11	0.0009946582785286037	0.011740193174080182	0.9324867638744228	-0.03915836241705168	0.04114767897410889
1,12	0.0021824702908827334	0.011694753917483846	0.8519694786557623	-0.03781514210915667	0.04218008269092214
1,13	-0.015261127948487097	0.011661762293681148	0.19073806801186502	-0.05514590461118486	0.02462364871421067
2,3	0.09285276565226969	0.01169219701752513	2.6533381247014593e-15	0.05286389818985069	0.1328416331146887
2,5	-0.08753937350328264	0.011748491465371937	1.15422171367983e-13	-0.12772077545776006	-0.047357971548805236
2,6	0.014012880329974995	0.011674519843339387	0.23010383719520988	-0.025915528847780797	0.05394128950773079
2,7	-0.022986026798375477	0.011723822224504835	0.05000018120045259	-0.06308305667103162	0.017111003074280658
2,8	0.005131096108505508	0.011678591683403393	0.660427853916717	-0.03481123930333646	0.04507343152034747
2,9	0.03692370355409666	0.011678111682480428	0.0015811534736947669	-0.003016990190806104	0.07686439729899942
2,10	0.04836427939158501	0.011676687937243064	3.523196334138467e-05	0.0084284550445817	0.08830010373858832
2,11	-0.043418275885233615	0.011766794903129135	0.0002276831964305788	-0.08366227802900668	-0.003174273741460551
2,12	0.033555841911839634	0.011710836073357263	0.004189556022935068	-0.006496773598288326	0.07360845742196759
2,13	-0.021335694829016445	0.011673228494812053	0.06767094123248384	-0.061259687423214	0.018588297765181106
3,5	0.08766855928205354	0.01177572015281209	1.2094037220071946e-13	0.04739403159837504	0.12794308696573203
3,6	-0.004085636206386786	0.011681687144734549	0.7265490864791504	-0.04403855850730709	0.03586728609453352
3,7	-0.032428235959730774	0.011748733020383404	0.005806957619840388	-0.0726104640644453	0.0077539921449837484
3,8	-0.00928490093511348	0.011683232254127558	0.4268289761048635	-0.04924310771547245	0.030673305845245497
3,9	-0.025155673074425764	0.011683824334040367	0.031382633445029964	-0.0651159048467623	0.01480455869791077
3,10	-0.025868983886405725	0.011680693291700671	0.026844899307203244	-0.0658185070778867	0.014080539305075246
3,11	-0.019702494649958262	0.011792920719284217	0.09486736809599695	-0.06003585055658763	0.02063086125667111
3,12	-0.040802459439090374	0.01174031195217646	0.0005161250439846485	-0.08095588637154319	-0.0006490325066375521
3,13	-0.01015073353528294	0.011679075521708222	0.3848297077577688	-0.05009472373841999	0.029793256667854116
5,6	-0.014167597224268974	0.011726976061677292	0.22708085526485786	-0.054275413639137696	0.025940219190599745
5,7	-0.03729266135866884	0.011837079742657049	0.0016433911587134923	-0.07777704699309695	0.0031917242757592626
5,8	0.029963927610600793	0.011732268872037472	0.010691166784991678	-0.010161990919009899	0.07008984614021149
5,9	0.018414985558717577	0.01173259496039359	0.11660645406253077	-0.021712048236401753	0.058542019353836905
5,10	0.05965771353328503	0.011728235815967958	3.831195236873631e-07	0.019545588591345718	0.09976983847522433
5,11	-0.06256369121584811	0.011889646920566672	1.5084382138214316e-07	-0.10322786358386876	-0.02189951884782746
5,12	-0.05751150477638063	0.011830373881993341	1.2160440381283462e-06	-0.09797295547626217	-0.017050054076499087
5,13	-0.022777440554664533	0.011722944480258523	0.05209697561603128	-0.06287146842536337	0.01731658731603431
6,7	0.006244202925490034	0.011701672139400585	0.5936401787102392	-0.03377707071279992	0.046265476563779995
6,8	-0.01113446521682924	0.011663897935371325	0.33983981010164344	-0.05102654605789209	0.028757615624233616
6,9	0.009182882258934806	0.011666264227397909	0.4312571160054284	-0.030717291615292526	0.04908305613316214
6,10	0.012085127306766448	0.011663693532073059	0.300210536793339	-0.027806254447855172	0.051976509061388065
6,11	-0.012489944553456507	0.011739529219822974	0.28743578681129006	-0.05264069443725071	0.0276608053303377
6,12	0.0029050500082510016	0.01169260238149592	0.8037989918974205	-0.03708520385281298	0.042895303869314984
6,13	-0.019139643758490258	0.011660200656269304	0.1007917930645041	-0.05901907941372869	0.02073979189674818
7,8	0.12821721142150064	0.011715167685856039	1.9126863230011267e-27	0.08814978122104095	0.16828464162196033
7,9	-0.018264822237152527	0.011707277939812967	0.11881867805086563	-0.0583052684577532	0.021775623983448143
7,10	0.007869095013299065	0.011703450809307552	0.5013891022954462	-0.03215826191242289	0.04789645193902101
7,11	-0.05594579376934955	0.011855567442574834	2.461413162204289e-06	-0.09649340979414733	-0.015398177744551773
7,12	-0.03926961221024876	0.011796719992604607	0.0008808514699621422	-0.0796159621364824	0.0010767377159848698
7,13	0.016780418950574368	0.011702437325201136	0.15168101282992733	-0.023243471724831585	0.05680430962598032
8,9	0.0031522127124016565	0.011669930062026554	0.7870880492047774	-0.0367604988033728	0.04306492422817611
8,10	-0.01704826015917676	0.011663708732636127	0.1439249544103781	-0.05693969390174393	0.022843173583390403
8,11	0.040313153486994165	0.011749126982987405	0.0006078109255943109	0.00012957797782409824	0.08049672899616422
8,12	0.008734569657499873	0.01169811965128825	0.45531521344551307	-0.03127455399939027	0.04874369331439001
8,13	0.01402159420915047	0.011663772427945057	0.2293852968953923	-0.02587005737983709	0.053913245798138026
9,10	-0.0033820200540115326	0.011670543072469949	0.7719928133287731	-0.0432968281469594	0.03653278803893634
9,11	0.001801992563393879	0.01174392242892427	0.8780596129025015	-0.03836378267929763	0.041967767806085396
9,12	-0.008573650765286477	0.011700196244431459	0.4637416153018802	-0.04858987664666468	0.03144257511609173
9,13	0.03153966938091206	0.011667562961194523	0.006900150053569499	-0.008364946335475812	0.07144428509729993
10,11	2.787576525992673e-05	0.011743985434230922	0.998106258905441	-0.0401381149639525	0.040193866494472354
10,12	-0.0030231297681842587	0.011695809372999423	0.7960515500090589	-0.043024351966336166	0.03697809242996765
10,13	0.02809445706545431	0.011664323440533067	0.016064958290006568	-0.011799079059802955	0.06798799319071157
11,12	-0.06374271626781913	0.011836916481900567	7.707771398672587e-08	-0.10422654352876592	-0.023258889006872334
11,13	-0.010778250956532925	0.011737269762588305	0.35852746378588873	-0.05092127319634723	0.029364771283281382
12,13	-0.00667262539836881	0.011691967414654844	0.5682377210109422	-0.04666070758846174	0.03331545679172412
