sample	reads_with_incorrect_barcode	reads_with_no_err_in_barcode	reads_with_one_sub_in_barcode	reads_with_two_or_more_subs_in_barcode	reads_with_indels_in_barcode	total_accepted	fraction_accepted
Omi32_g_1_1	3229435	3491692	0	0	0	3491692	0.5195098976704353
Omi32_g_1_2	5382414	5788649	0	0	0	5788649	0.5181824684007242
Omi32_g_1_3	3122390	6982887	0	0	0	6982887	0.6910139128299007
Omi32_g_1_4	2168195	9164973	0	0	0	9164973	0.8086858855352713
Omi32_g_2_1	4144629	4326728	0	0	0	4326728	0.5107479238568272
Omi32_g_2_2	4840189	5764828	0	0	0	5764828	0.5435944138514818
Omi32_g_2_3	2640916	7406030	0	0	0	7406030	0.7371424112362105
Omi32_g_2_4	1825186	7959342	0	0	0	7959342	0.8134620290319574
Omi32_g_3_1	4935242	4749452	0	0	0	4749452	0.4904080603888981
Omi32_g_3_2	3784082	5162680	0	0	0	5162680	0.5770445218057662
Omi32_g_3_3	2534696	7514554	0	0	0	7514554	0.7477726198472523
Omi32_g_3_4	1624741	6683442	0	0	0	6683442	0.8044408747375931
Omi32_g_4_1	5164625	4976649	0	0	0	4976649	0.4907321308940079
Omi32_g_4_2	4515490	5217353	0	0	0	5217353	0.5360564225684109
Omi32_g_4_3	3578415	7524310	0	0	0	7524310	0.6776993936173327
Omi32_g_4_4	1747253	7034599	0	0	0	7034599	0.8010382092524447
Omi32_g_5_1	9686323	12003493	0	0	0	12003493	0.5534160824600818
Omi32_g_5_2	2626854	4782509	0	0	0	4782509	0.6454683081393097
Omi32_g_5_3	1737217	4793069	0	0	0	4793069	0.7339753572814421
Omi32_g_5_4	1394727	5377203	0	0	0	5377203	0.7940429094807536
Omi32_g_6_1	11563438	17230932	0	0	0	17230932	0.5984132314754586
Omi32_g_6_2	1162468	3284384	0	0	0	3284384	0.7385863077970664
Omi32_g_6_3	1107706	3549682	0	0	0	3549682	0.7621615377546385
Omi32_g_6_4	5	9	0	0	0	9	0.6428571428571429
Omi32_g_7_1	11462825	21390196	0	0	0	21390196	0.651087642746766
Omi32_g_7_2	1465736	4222020	0	0	0	4222020	0.742299775166164
Omi32_g_7_3	5	9	0	0	0	9	0.6428571428571429
Omi32_g_7_4	5	9	0	0	0	9	0.6428571428571429
Omi32_g_8_1	12517995	21552274	0	0	0	21552274	0.6325830300899591
Omi32_g_8_2	1187036	3224807	0	0	0	3224807	0.7309432815265638
Omi32_g_8_3	5	9	0	0	0	9	0.6428571428571429
Omi32_g_8_4	5	9	0	0	0	9	0.6428571428571429
Omi32_g_9_1	13077220	19757069	0	0	0	19757069	0.6017206280909569
Omi32_g_9_2	1554852	3874238	0	0	0	3874238	0.7136072527808528
Omi32_g_9_3	5	9	0	0	0	9	0.6428571428571429
Omi32_g_9_4	5	9	0	0	0	9	0.6428571428571429
Omi32_g_F_1	24851304	2078125	0	0	0	2078125	0.0771692931179491
Omi32_g_F_2	16414698	8009049	0	0	0	8009049	0.3279205684533172
Omi32_g_F_3	8958764	27599936	0	0	0	27599936	0.7549485074688105
Omi32_g_F_4	5014631	27400852	0	0	0	27400852	0.8453013641660068
Omi32_h_1_1	12288	11456	0	0	0	11456	0.4824797843665768
Omi32_h_1_2	704840	481177	0	0	0	481177	0.4057083498803137
Omi32_h_1_3	2003508	3367688	0	0	0	3367688	0.6269903388370114
Omi32_h_1_4	250450	919221	0	0	0	919221	0.7858799611172714
Omi32_h_2_1	1346689	875864	0	0	0	875864	0.3940801411709867
Omi32_h_2_2	2606946	1366115	0	0	0	1366115	0.3438444564530975
Omi32_h_2_3	2519595	3449347	0	0	0	3449347	0.5778824790054921
Omi32_h_2_4	1207906	4388948	0	0	0	4388948	0.7841812561128091
Omi32_h_3_1	1700808	1051394	0	0	0	1051394	0.3820191977187721
Omi32_h_3_2	3198948	2020743	0	0	0	2020743	0.3871384340567286
Omi32_h_3_3	1396037	2128420	0	0	0	2128420	0.6039001185147103
Omi32_h_3_4	1178346	4675056	0	0	0	4675056	0.7986904026068943
Omi32_h_4_1	3746161	1801386	0	0	0	1801386	0.3247175733707168
Omi32_h_4_2	1499243	1159904	0	0	0	1159904	0.4361940125912558
Omi32_h_4_3	1523843	2408168	0	0	0	2408168	0.6124519997527983
Omi32_h_4_4	2163422	6869332	0	0	0	6869332	0.7604914293027354
Omi32_h_5_1	5467590	5229016	0	0	0	5229016	0.4888481449162473
Omi32_h_5_2	1300325	1643924	0	0	0	1643924	0.5583508731768271
Omi32_h_5_3	475838	1553450	0	0	0	1553450	0.7655148012504879
