sample	fastq_file	total_reads_considered	reads_matching_pattern	fraction_of_fastq_accepted
Omi32_g_1_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_1_1_R1.fastq.gz	7171105	6854267	0.9558174088930508
Omi32_g_1_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_1_2_R1.fastq.gz	11759536	11284445	0.9595995114092936
Omi32_g_1_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_1_3_R1.fastq.gz	10842480	10379571	0.957305985346526
Omi32_g_1_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_1_4_R1.fastq.gz	12209982	11643015	0.9535652878112352
Omi32_g_2_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_2_1_R1.fastq.gz	9025370	8602066	0.953098432529636
Omi32_g_2_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_2_2_R1.fastq.gz	11147166	10752997	0.9646395325951008
Omi32_g_2_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_2_3_R1.fastq.gz	10723495	10284911	0.9591006476899556
Omi32_g_2_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_2_4_R1.fastq.gz	10780004	10289823	0.9545286810654244
Omi32_g_3_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_3_1_R1.fastq.gz	10406603	9882084	0.9495974815220682
Omi32_g_3_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_3_2_R1.fastq.gz	9972575	9424932	0.9450850958754384
Omi32_g_3_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_3_3_R1.fastq.gz	10702864	10240049	0.9567578360334206
Omi32_g_3_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_3_4_R1.fastq.gz	8825925	8443848	0.956709693318264
Omi32_g_4_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_4_1_R1.fastq.gz	11180176	10718775	0.9587304350128298
Omi32_g_4_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_4_2_R1.fastq.gz	10553247	10126860	0.9595966056702738
Omi32_g_4_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_4_3_R1.fastq.gz	12191072	11695084	0.9593154728312654
Omi32_g_4_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_4_4_R1.fastq.gz	9436243	9014277	0.9552824148339546
Omi32_g_5_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_5_1_R1.fastq.gz	23134660	22111356	0.955767493449223
Omi32_g_5_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_5_2_R1.fastq.gz	8217780	7814207	0.9508902647673704
Omi32_g_5_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_5_3_R1.fastq.gz	7041329	6707652	0.9526116447619476
Omi32_g_5_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_5_4_R1.fastq.gz	7299284	6971188	0.9550509337628184
Omi32_g_6_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_6_1_R1.fastq.gz	30564845	29109375	0.9523809134317548
Omi32_g_6_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_6_2_R1.fastq.gz	4862043	4609133	0.9479827718512568
Omi32_g_6_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_6_3_R1.fastq.gz	5007255	4778189	0.9542531786377966
Omi32_g_6_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_6_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_7_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_7_1_R1.fastq.gz	34937457	33284093	0.9526764641170076
Omi32_g_7_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_7_2_R1.fastq.gz	6326021	6060234	0.957985122085431
Omi32_g_7_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_7_3_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_7_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_7_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_8_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_8_1_R1.fastq.gz	36368315	34644490	0.9526009109852904
Omi32_g_8_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_8_2_R1.fastq.gz	4829195	4586091	0.9496595188224952
Omi32_g_8_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_8_3_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_8_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_8_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_9_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_9_1_R1.fastq.gz	34755425	33301795	0.958175450307398
Omi32_g_9_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_9_2_R1.fastq.gz	5798735	5535954	0.9546830472508228
Omi32_g_9_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_9_3_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_9_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_9_4_R1.fastq.gz	425002	391351	0.9208215490750632
Omi32_g_F_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_F_1_R1.fastq.gz	28650220	27400692	0.9563867921433064
Omi32_g_F_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_F_2_R1.fastq.gz	26019304	24834546	0.9544661917167346
Omi32_g_F_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_F_3_R1.fastq.gz	43139116	41192564	0.9548773322105164
Omi32_g_F_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_g_F_4_R1.fastq.gz	34962967	33216924	0.9500602165714368
Omi32_h_1_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_1_1_R1.fastq.gz	1727397	1650407	0.9554300487959628
Omi32_h_1_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_1_2_R1.fastq.gz	10680333	10300549	0.9644408091021132
Omi32_h_1_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_1_3_R1.fastq.gz	11980351	11506286	0.9604297904126516
Omi32_h_1_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_1_4_R1.fastq.gz	10214797	9736987	0.9532237400312508
Omi32_h_2_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_2_1_R1.fastq.gz	2609432	2486974	0.9530710131553534
Omi32_h_2_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_2_2_R1.fastq.gz	16175287	15632522	0.966444799402941
Omi32_h_2_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_2_3_R1.fastq.gz	11210074	10753261	0.959249778368992
Omi32_h_2_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_2_4_R1.fastq.gz	11704454	11240045	0.9603220278365826
Omi32_h_3_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_3_1_R1.fastq.gz	4495566	4261912	0.9480256768558176
Omi32_h_3_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_3_2_R1.fastq.gz	12536886	11993683	0.9566716168592424
Omi32_h_3_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_3_3_R1.fastq.gz	10337110	9836899	0.9516101695735076
Omi32_h_3_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_3_4_R1.fastq.gz	10938879	10529100	0.9625392144844092
Omi32_h_4_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_4_1_R1.fastq.gz	8497248	8014045	0.9431341770888644
Omi32_h_4_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_4_2_R1.fastq.gz	10960906	10494234	0.9574239574721288
Omi32_h_4_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_4_3_R1.fastq.gz	9715007	9340959	0.9614979176031474
Omi32_h_4_4	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_4_4_R1.fastq.gz	10937486	10435448	0.9540993241042776
Omi32_h_5_1	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_5_1_R1.fastq.gz	18352245	17495850	0.9533356818198536
Omi32_h_5_2	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_5_2_R1.fastq.gz	7958701	7620616	0.9575200777111742
Omi32_h_5_3	results_Omi-32/20251022_psr_rep1-2_FINAL/grouped_fastq/Omi32_h_5_3_R1.fastq.gz	3754643	3541322	0.9431847448612292
