sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
Omi32_g_1_1	187623	6533504	133140	0.9805756034890384
Omi32_g_1_2	224027	10947036	113382	0.9899523636297576
Omi32_g_1_3	226705	9878572	274294	0.9735736669656192
Omi32_g_1_4	243287	11089881	309847	0.9733877350497272
Omi32_g_2_1	179433	8291924	130709	0.9848049294204438
Omi32_g_2_2	199631	10405386	147980	0.9862382552510708
Omi32_g_2_3	212467	9834479	237965	0.9768627069305704
Omi32_g_2_4	252797	9531731	505295	0.9508937131377284
Omi32_g_3_1	283464	9401230	197390	0.9800254683121497
Omi32_g_3_2	236014	8710748	478170	0.94926541645075
Omi32_g_3_3	248619	9800631	190799	0.9813673743162752
Omi32_g_3_4	201498	8106685	135665	0.9839332730764456
Omi32_g_4_1	240477	9900797	577501	0.9461224813469824
Omi32_g_4_2	194625	9538218	394017	0.9610918883049632
Omi32_g_4_3	326542	10776183	592359	0.9493497438752898
Omi32_g_4_4	240717	8541135	232425	0.9742159021738516
Omi32_g_5_1	494219	21195597	421540	0.9809355880299696
Omi32_g_5_2	188523	7220840	404844	0.948191287996338
Omi32_g_5_3	158589	6371697	177366	0.9735576622043004
Omi32_g_5_4	207465	6564465	199258	0.9714169234856384
Omi32_g_6_1	782683	28011687	315005	0.9891785721953836
Omi32_g_6_2	114812	4332040	162281	0.9647914260664642
Omi32_g_6_3	128752	4528636	120801	0.9747182457621496
Omi32_g_6_4	0	14	391337	3.577351278008744e-05
Omi32_g_7_1	897331	31955690	431072	0.987048708222273
Omi32_g_7_2	126106	5561650	372478	0.9385373568083344
Omi32_g_7_3	0	14	391337	3.577351278008744e-05
Omi32_g_7_4	0	14	391337	3.577351278008744e-05
Omi32_g_8_1	1012243	33058026	574221	0.9834253296844606
Omi32_g_8_2	155945	4255898	174248	0.962005115031516
Omi32_g_8_3	0	14	391337	3.577351278008744e-05
Omi32_g_8_4	0	14	391337	3.577351278008744e-05
Omi32_g_9_1	581591	32252698	467506	0.9859615375087138
Omi32_g_9_2	154988	5274102	106864	0.9806963713932594
Omi32_g_9_3	0	14	391337	3.577351278008744e-05
Omi32_g_9_4	0	14	391337	3.577351278008744e-05
Omi32_g_F_1	671275	26258154	471263	0.9828010548054772
Omi32_g_F_2	618940	23804807	410799	0.9834585661441124
Omi32_g_F_3	921670	35637030	4633864	0.8875072695159253
Omi32_g_F_4	941373	31474110	801441	0.9758725100493952
Omi32_h_1_1	658	23086	1626663	0.0143867542975762
Omi32_h_1_2	28206	1157811	9114532	0.115141144418613
Omi32_h_1_3	131614	5239582	6135090	0.4668053618691557
Omi32_h_1_4	30301	1139370	8567316	0.1201265853595162
Omi32_h_2_1	48978	2173575	264421	0.8936776178600983
Omi32_h_2_2	71447	3901614	11659461	0.2541535524466238
Omi32_h_2_3	174815	5794127	4784319	0.5550820351147433
Omi32_h_2_4	157674	5439180	5643191	0.4979387538039216
Omi32_h_3_1	89775	2662427	1509710	0.6457669703175476
Omi32_h_3_2	149860	5069831	6773992	0.4352033482959321
Omi32_h_3_3	114520	3409937	6312442	0.358289436538893
Omi32_h_3_4	126273	5727129	4675698	0.5559261475339773
Omi32_h_4_1	161015	5386532	2466498	0.6922280820734099
Omi32_h_4_2	70917	2588230	7835087	0.2533912432293771
Omi32_h_4_3	91957	3840054	5408948	0.420942967419084
Omi32_h_4_4	230418	8802336	1402694	0.8655837296108418
Omi32_h_5_1	415529	10281077	6799244	0.6113796128796257
Omi32_h_5_2	77575	2866674	4676367	0.386353150453979
Omi32_h_5_3	72697	1956591	1512034	0.5730312013423235
Omi32_h_5_4	78850	4223248	1316118	0.7657409398285862
Omi32_h_6_1	538966	20434684	7485846	0.7369649132226376
Omi32_h_6_2	79442	2381000	2090112	0.5406906499736076
Omi32_h_6_3	0	14	391337	3.577351278008744e-05
Omi32_h_6_4	0	14	391337	3.577351278008744e-05
Omi32_h_7_1	783910	22949831	6863288	0.7756877636714335
Omi32_h_7_2	2144	58214	791329	0.0708687581235829
Omi32_h_7_3	0	14	391337	3.577351278008744e-05
Omi32_h_7_4	0	14	391337	3.577351278008744e-05
Omi32_h_8_1	1107005	36382696	1464511	0.9624042966136755
Omi32_h_8_2	7893	224453	473984	0.3289482253337675
Omi32_h_8_3	0	14	391337	3.577351278008744e-05
Omi32_h_8_4	0	14	391337	3.577351278008744e-05
Omi32_h_9_1	589551	26620791	7925384	0.7744351717679037
Omi32_h_9_2	4494	153735	233122	0.4043147966914611
Omi32_h_9_3	0	14	391337	3.577351278008744e-05
Omi32_h_9_4	0	14	391337	3.577351278008744e-05
Omi32_h_F_1	1036808	29930649	543249	0.98275985945856
Omi32_h_F_2	719596	23711644	1448106	0.944043949178623
Omi32_h_F_3	1396227	52903757	6722171	0.889840484984511
Omi32_h_F_4	381275	13716197	29040548	0.3267992364971781
