sample_id	construct	solute	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
52	Omi32	BA4	a	2	7	1	Omi32_a_2_1	10	4	10	9	17687
53	Omi32	BA4	a	2	7	2	Omi32_a_2_2	6	8	6	7	498008
54	Omi32	BA4	a	2	7	3	Omi32_a_2_3	11	5	11	6	579219
55	Omi32	BA4	a	2	7	4	Omi32_a_2_4	9	5	9	7	568443
56	Omi32	BA4	a	3	8	1	Omi32_a_3_1	4	9	4	6	33745
57	Omi32	BA4	a	3	8	2	Omi32_a_3_2	4	6	4	11	471244
58	Omi32	BA4	a	3	8	3	Omi32_a_3_3	2	9	2	9	527109
59	Omi32	BA4	a	3	8	4	Omi32_a_3_4	5	9	5	3	504765
60	Omi32	BA4	a	4	9	1	Omi32_a_4_1	11	6	11	3	65805
61	Omi32	BA4	a	4	9	2	Omi32_a_4_2	6	3	6	4	285155
62	Omi32	BA4	a	4	9	3	Omi32_a_4_3	1	11	1	3	336410
63	Omi32	BA4	a	4	9	4	Omi32_a_4_4	9	2	9	4	318311
64	Omi32	BA4	a	5	10	1	Omi32_a_5_1	6	6	6	12	183059
65	Omi32	BA4	a	5	10	2	Omi32_a_5_2	4	3	4	9	225207
66	Omi32	BA4	a	5	10	3	Omi32_a_5_3	10	9	10	4	257694
67	Omi32	BA4	a	5	10	4	Omi32_a_5_4	7	12	7	3	231045
68	Omi32	BA4	a	6	11	1	Omi32_a_6_1	10	3	10	2	400648
69	Omi32	BA4	a	6	11	2	Omi32_a_6_2	10	2	10	6	151381
70	Omi32	BA4	a	6	11	3	Omi32_a_6_3	4	12	4	4	173611
11	Omi32	BA4	a	6	11	4	Omi32_a_6_4	1	1	1	1	0
71	Omi32	BA4	a	7	12	1	Omi32_a_7_1	3	3	3	5	954498
72	Omi32	BA4	a	7	12	2	Omi32_a_7_2	6	5	6	3	113454
1	Omi32	BA4	a	7	12	3	Omi32_a_7_3	1	1	1	1	0
2	Omi32	BA4	a	7	12	4	Omi32_a_7_4	1	1	1	1	0
73	Omi32	BA4	a	8	14	1	Omi32_a_8_1	3	6	3	2	1003120
74	Omi32	BA4	a	8	14	2	Omi32_a_8_2	8	8	8	12	12735
3	Omi32	BA4	a	8	14	3	Omi32_a_8_3	1	1	1	1	0
4	Omi32	BA4	a	8	14	4	Omi32_a_8_4	1	1	1	1	0
75	Omi32	BA4	a	F	NaN	1	Omi32_a_F_1	6	11	6	8	173806
76	Omi32	BA4	a	F	NaN	2	Omi32_a_F_2	12	4	12	10	229866
77	Omi32	BA4	a	F	NaN	3	Omi32_a_F_3	12	10	12	6	274714
78	Omi32	BA4	a	F	NaN	4	Omi32_a_F_4	2	3	2	11	324788
79	Omi32	BA4	a	F	NaN	5	Omi32_a_F_5	3	11	3	7	582370
80	Omi32	BA4	a	F	NaN	6	Omi32_a_F_6	9	3	9	6	468965
81	Omi32	BA4	a	unsorted	NaN	1	Omi32_a_10_1	2	8	2	8	0
86	Omi32	BA4	b	2	7	1	Omi32_b_2_1	11	7	11	7	13427
87	Omi32	BA4	b	2	7	2	Omi32_b_2_2	1	9	1	12	322892
88	Omi32	BA4	b	2	7	3	Omi32_b_2_3	1	8	1	6	402421
89	Omi32	BA4	b	2	7	4	Omi32_b_2_4	2	1	2	10	362857
90	Omi32	BA4	b	3	8	1	Omi32_b_3_1	1	7	1	5	26590
91	Omi32	BA4	b	3	8	2	Omi32_b_3_2	8	3	8	8	391090
92	Omi32	BA4	b	3	8	3	Omi32_b_3_3	6	7	6	2	433378
93	Omi32	BA4	b	3	8	4	Omi32_b_3_4	4	10	4	5	442322
94	Omi32	BA4	b	4	9	1	Omi32_b_4_1	1	10	1	9	56762
95	Omi32	BA4	b	4	9	2	Omi32_b_4_2	12	3	12	7	195647
96	Omi32	BA4	b	4	9	3	Omi32_b_4_3	7	7	7	1	221646
97	Omi32	BA4	b	4	9	4	Omi32_b_4_4	8	5	8	10	208253
98	Omi32	BA4	b	5	10	1	Omi32_b_5_1	12	11	12	12	166806
