sample_id	construct	solute	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
1229	Omi32	PSR	g	1	-0.5	1	Omi32_g_1_1	2	12	2	5	362806
1230	Omi32	PSR	g	1	-0.5	2	Omi32_g_1_2	5	2	5	9	667360
1231	Omi32	PSR	g	1	-0.5	3	Omi32_g_1_3	5	5	5	5	629542
1232	Omi32	PSR	g	1	-0.5	4	Omi32_g_1_4	5	11	5	11	657158
1233	Omi32	PSR	g	2	0	1	Omi32_g_2_1	10	4	10	9	537645
1234	Omi32	PSR	g	2	0	2	Omi32_g_2_2	6	8	6	7	723878
1235	Omi32	PSR	g	2	0	3	Omi32_g_2_3	11	5	11	6	663005
1236	Omi32	PSR	g	2	0	4	Omi32_g_2_4	9	5	9	7	602120
1237	Omi32	PSR	g	3	1	1	Omi32_g_3_1	4	9	4	6	703347
1238	Omi32	PSR	g	3	1	2	Omi32_g_3_2	4	6	4	11	539993
1239	Omi32	PSR	g	3	1	3	Omi32_g_3_3	2	9	2	9	513513
1240	Omi32	PSR	g	3	1	4	Omi32_g_3_4	5	9	5	3	496041
1241	Omi32	PSR	g	4	2	1	Omi32_g_4_1	11	6	11	3	200335
1242	Omi32	PSR	g	4	2	2	Omi32_g_4_2	6	3	6	4	171794
1243	Omi32	PSR	g	4	2	3	Omi32_g_4_3	1	11	1	3	169854
1244	Omi32	PSR	g	4	2	4	Omi32_g_4_4	9	2	9	4	166226
1245	Omi32	PSR	g	5	3	1	Omi32_g_5_1	6	6	6	12	964370
1246	Omi32	PSR	g	5	3	2	Omi32_g_5_2	4	3	4	9	353277
1247	Omi32	PSR	g	5	3	3	Omi32_g_5_3	10	9	10	4	341403
1248	Omi32	PSR	g	5	3	4	Omi32_g_5_4	7	12	7	3	333374
1249	Omi32	PSR	g	6	4	1	Omi32_g_6_1	10	3	10	2	1567701
1250	Omi32	PSR	g	6	4	2	Omi32_g_6_2	10	2	10	6	248848
1251	Omi32	PSR	g	6	4	3	Omi32_g_6_3	4	12	4	4	248417
11	Omi32	PSR	g	6	4	4	Omi32_g_6_4	1	1	1	1	0
1252	Omi32	PSR	g	7	5	1	Omi32_g_7_1	3	3	3	5	1597698
1253	Omi32	PSR	g	7	5	2	Omi32_g_7_2	6	5	6	3	276731
12	Omi32	PSR	g	7	5	3	Omi32_g_7_3	1	1	1	1	0
13	Omi32	PSR	g	7	5	4	Omi32_g_7_4	1	1	1	1	0
1254	Omi32	PSR	g	8	6	1	Omi32_g_8_1	3	6	3	2	1758864
1255	Omi32	PSR	g	8	6	2	Omi32_g_8_2	8	8	8	12	158447
14	Omi32	PSR	g	8	6	3	Omi32_g_8_3	1	1	1	1	0
15	Omi32	PSR	g	8	6	4	Omi32_g_8_4	1	1	1	1	0
1256	Omi32	PSR	g	9	14	1	Omi32_g_9_1	6	11	6	8	1910546
1257	Omi32	PSR	g	9	14	2	Omi32_g_9_2	12	4	12	10	235823
16	Omi32	PSR	g	9	14	3	Omi32_g_9_3	1	1	1	1	0
17	Omi32	PSR	g	9	14	4	Omi32_g_9_4	1	1	1	1	0
1258	Omi32	PSR	g	F	NaN	1	Omi32_g_F_1	12	10	12	6	859295
1259	Omi32	PSR	g	F	NaN	2	Omi32_g_F_2	2	3	2	11	682485
1260	Omi32	PSR	g	F	NaN	3	Omi32_g_F_3	3	11	3	7	1531294
1261	Omi32	PSR	g	F	NaN	4	Omi32_g_F_4	9	3	9	6	1329063
1262	Omi32	PSR	h	1	-0.5	1	Omi32_h_1_1	2	8	2	8	77384
1263	Omi32	PSR	h	1	-0.5	2	Omi32_h_1_2	11	4	11	12	649694
1264	Omi32	PSR	h	1	-0.5	3	Omi32_h_1_3	12	7	12	4	618469
1265	Omi32	PSR	h	1	-0.5	4	Omi32_h_1_4	9	8	9	9	631615
1266	Omi32	PSR	h	2	0	1	Omi32_h_2_1	10	8	10	1	108640
1267	Omi32	PSR	h	2	0	2	Omi32_h_2_2	11	7	11	7	581691
1268	Omi32	PSR	h	2	0	3	Omi32_h_2_3	1	9	1	12	593264
1269	Omi32	PSR	h	2	0	4	Omi32_h_2_4	1	8	1	6	560064
1270	Omi32	PSR	h	3	1	1	Omi32_h_3_1	2	1	2	10	109172
1271	Omi32	PSR	h	3	1	2	Omi32_h_3_2	1	7	1	5	302159
1272	Omi32	PSR	h	3	1	3	Omi32_h_3_3	8	3	8	8	270877
1273	Omi32	PSR	h	3	1	4	Omi32_h_3_4	6	7	6	2	275196
1274	Omi32	PSR	h	4	2	1	Omi32_h_4_1	4	10	4	5	295104
1275	Omi32	PSR	h	4	2	2	Omi32_h_4_2	1	10	1	9	360760
1276	Omi32	PSR	h	4	2	3	Omi32_h_4_3	12	3	12	7	356694
1277	Omi32	PSR	h	4	2	4	Omi32_h_4_4	7	7	7	1	341621
1278	Omi32	PSR	h	5	3	1	Omi32_h_5_1	8	5	8	10	379342
